group,1d,2d,pop 2021
0-11,547,135,1079338
12-17,505969,464696,529446
18-29,1061718,984923,1216440
30-39,978309,923185,1118629
40-49,1000530,964088,1115327
50-59,1060925,1026566,1155183
60-69,1102281,1086417,1168854
70-79,747483,744447,783129
80 plus,397861,395695,425520
Total 12+,6855076,6590017,7512528
Total,6855623,6590152,8591866
