group,0d,1d,2d,pop 2021
0-4,87915,106,21,109960
5-11,146121,35,5,149671
12-17,34920,91067,73224,115666
18-29,36115,283788,234978,367326
30-39,46865,255788,222372,330128
40-49,30082,230791,207172,281268
50-59,17859,218587,202304,254246
60-69,4304,201736,192083,219244
70-79,1838,140871,135248,148691
80 plus,2874,97096,90685,102264
Total 12+,174857,1519724,1358066,1818833
Total,408893,1519865,1358092,2078464
