group,0d,1d,2d,pop 2021
0-4,88567,110,10,109960
5-11,147087,23,2,149671
12-17,43198,82511,47047,115666
18-29,64097,256296,177549,367326
30-39,60688,242355,187076,330128
40-49,39341,221344,179041,281268
50-59,23733,212774,180880,254246
60-69,6963,198882,183248,219244
70-79,3159,139228,131479,148691
80 plus,3594,95937,88388,102264
Total 12+,244773,1449327,1174708,1818833
Total,480427,1449460,1174720,2078464
