group,1d,2d,pop 2021
0-11,412,67,1079338
12-17,437120,267273,529446
18-29,891060,636368,1216440
30-39,865094,680024,1118629
40-49,925252,781944,1115327
50-59,1010962,891859,1155183
60-69,1077396,1014130,1168854
70-79,737237,717165,783129
80 plus,393340,377564,425520
Total 12+,6337461,5366327,7512528
Total,6337873,5366394,8591866
