Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;12;347;258,5;8417;6269,9;< 5;n.p.;451;336
Anjou;9;136;317,8;2825;6601,1;< 5;n.p.;68;158,9
Baie D'urfé;0;0;;67;1752,6;0;;< 5;n.p.
Beaconsfield;< 5;20;* 103,5;364;1883,7;0;;17;* 88
Côte-des-Neiges–Notre-Dame-de-Grâce;22;444;266,6;9336;5606,5;6;n.p.;342;205,4
Côte-Saint-Luc;8;159;490;2167;6678,4;< 5;n.p.;109;335,9
Dollard-des-Ormeaux;10;104;212,7;2136;4368,2;< 5;n.p.;118;241,3
Dorval;0;21;* 110,6;648;3414,1;0;;67;353
Hampstead;< 5;8;n.p.;315;4517,4;< 5;n.p.;< 5;n.p.
Kirkland;< 5;21;* 104,2;527;2615,3;0;;31;* 153,8
Lachine;6;101;227;2464;5538,4;< 5;n.p.;166;373,1
LaSalle;7;226;294,1;4438;5774,7;< 5;n.p.;233;303,2
L'Île-Bizard–Sainte-Geneviève;< 5;35;* 190,1;851;4621,7;0;;72;391
Mercier–Hochelaga-Maisonneuve;25;300;220,5;7178;5277;< 5;n.p.;429;315,4
Montréal Est;0;9;* 233,8;220;5714,3;0;;7;n.p.
Montréal-Nord;21;361;428,6;7791;9249,2;< 5;n.p.;321;381,1
Montréal-Ouest;0;0;;121;2396;0;;< 5;n.p.
Mont-Royal;< 5;34;* 167,7;927;4571,9;0;;92;453,7
Outremont;< 5;53;221,3;1060;4425,1;< 5;n.p.;21;* 87,7
Pierrefonds–Roxboro;8;200;288,6;3208;4629,3;< 5;n.p.;76;109,7
Plateau Mont-Royal;11;161;154,8;3694;3551,9;< 5;n.p.;168;161,5
Pointe-Claire;6;35;* 111,5;837;2667,3;0;;51;162,5
Rivière-des-Prairies–Pointe-aux-Trembles;17;370;346,6;7540;7063,7;< 5;n.p.;304;284,8
Rosemont–La Petite Patrie;21;208;149;5872;4206,6;< 5;n.p.;314;224,9
Sainte-Anne-de-Bellevue;< 5;6;n.p.;114;2299,3;0;;12;* 242
Saint-Laurent;35;465;470,5;6143;6215,8;7;n.p.;140;141,7
Saint-Léonard;21;399;509,5;6418;8196,2;< 5;n.p.;118;150,7
Senneville;0;< 5;n.p.;22;* 2388,7;0;;0;
Sud-Ouest;0;85;108,8;3152;4033,2;0;;203;259,8
Verdun;8;96;138,7;2543;3673,3;< 5;n.p.;190;274,5
Ville-Marie;9;111;124,5;3893;4365,8;< 5;n.p.;113;126,7
Villeray–Saint-Michel–Parc-Extension;34;435;302,4;8918;6199,4;5;n.p.;173;120,3
Westmount;< 5;12;* 59,1;604;2973,6;0;;55;270,8
Territoire à confirmer;0;32;;1682;;< 5;;24;
Total à Montréal;303;4995;241,8;106492;5155,4;60;2,9;4495;217,6
