,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1412,4,1397,15,26,1,1304,82,196795,717.50,41.67,13.21
02,02 - Saguenay–Lac-Saint-Jean,8476,38,8293,183,238,-1,7817,421,277378,3055.76,151.78,85.80
03,03 - Capitale-Nationale,20020,136,19714,306,801,10,17496,1723,760147,2633.70,226.67,105.37
04,04 - Mauricie et Centre-du-Québec,11274,98,11054,220,391,3,9751,1132,524322,2150.21,215.90,74.57
05,05 - Estrie,9575,95,9181,394,219,2,8375,981,496770,1927.45,197.48,44.08
06,06 - Montréal,84021,811,81219,2802,4023,22,71148,8850,2078464,4042.46,425.80,193.56
07,07 - Outaouais,5445,52,5086,359,139,2,4877,429,404456,1346.25,106.07,34.37
08,08 - Abitibi-Témiscamingue,596,7,562,34,5,0,415,176,147658,403.64,119.19,3.39
09,09 - Côte-Nord,325,5,312,13,3,0,307,15,89368,363.66,16.78,3.36
10,10 - Nord-du-Québec,89,1,87,2,0,0,76,13,13485,659.99,96.40,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1681,3,1662,19,43,0,1601,37,89648,1875.11,41.27,47.97
12,12 - Chaudière-Appalaches,10024,112,9765,259,213,5,8775,1036,431910,2320.85,239.86,49.32
13,13 - Laval,19892,188,18473,1419,790,4,16979,2123,446572,4454.38,475.40,176.90
14,14 - Lanaudière,17218,126,16510,708,421,0,15309,1488,524642,3281.86,283.62,80.25
15,15 - Laurentides,12894,104,12293,601,389,3,11450,1055,633508,2035.33,166.53,61.40
16,16 - Montérégie,33609,347,32171,1438,1175,12,28829,3605,1443701,2327.98,249.71,81.39
17,17 - Nunavik,30,0,28,2,0,0,29,1,14413,208.15,6.94,0.00
18,18 - Terres-Cries-de-la-Baie-James,48,1,48,0,2,0,19,27,18629,257.66,144.94,10.74
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,194,4,191,3,0,0,180,14,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,236827,2132,228050,8777,8878,63,204741,23208,8591866,2756.41,270.12,103.33
