,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4030,-1,4007,23,53,0,3969,8,196934.5,2046.37,4.07,26.91,1
02,02 - Saguenay-Lac-Saint-Jean,11123,1,10900,223,271,0,10831,21,277505,4008.22,7.57,97.66,1
03,03 - Capitale-Nationale,33404,17,33051,353,1119,0,32168,117,757803,4408.01,15.39,147.66,20
04,04 - Mauricie et Centre-du-Québec,16193,34,15953,240,561,0,15395,237,523331.5,3094.21,45.20,107.20,28
05,05 - Estrie,15572,44,15061,511,355,0,15001,216,494966.5,3146.07,43.48,71.72,14
06,06 - Montréal,138602,262,135668,2934,4776,1,131905,1921,2072060.5,6689.09,92.42,230.50,185
07,07 - Outaouais,13008,23,12561,447,215,0,12607,186,402744,3229.84,45.99,53.38,23
08,08 - Abitibi-Témiscamingue,1207,4,1174,33,9,0,1188,10,147637,817.55,6.77,6.10,0
09,09 - Côte-Nord,595,1,576,19,4,0,588,3,89700.5,663.32,3.36,4.46,2
10,10 - Nord-du-Québec,131,2,129,2,0,0,121,10,13521.5,968.83,74.16,0.00,6
11,11 - Gaspésie-Îles-de-la-Madeleine,2087,1,2067,20,47,0,2035,5,89823,2323.46,5.58,52.33,0
12,12 - Chaudière-Appalaches,19542,21,19262,280,368,0,19063,111,431109.5,4532.96,25.70,85.36,8
13,13 - Laval,33834,112,31962,1872,922,1,32254,658,444658.5,7608.99,147.34,207.35,71
14,14 - Lanaudière,25192,56,24481,711,517,0,24201,474,522367,4822.66,90.35,98.97,32
15,15 - Laurentides,22166,62,21562,604,511,0,21251,404,630238,3517.08,63.77,81.08,45
16,16 - Montérégie,53790,107,51833,1957,1560,0,51393,837,1438226,3740.02,57.98,108.47,94
17,17 - Nunavik,51,1,49,2,0,0,50,1,14336.5,355.74,6.94,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,137,0,137,0,3,0,123,11,18507,740.26,59.05,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,695,3,690,5,0,0,660,35,.,.,.,.,11
999,Ensemble du Québec,391363,750,381126,10237,11291,2,374807,5265,8565469.5,4569.08,61.28,131.82,541

