,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4404,15,4382,22,55,1,4217,132,196934.5,2236.28,67.07,27.93,11
02,02 - Saguenay-Lac-Saint-Jean,11425,6,11205,220,273,0,11121,31,277505,4117.04,11.18,98.38,1
03,03 - Capitale-Nationale,34914,38,34559,355,1137,1,33495,282,757803,4607.27,37.10,150.04,9
04,04 - Mauricie et Centre-du-Québec,17755,33,17516,239,572,0,17024,159,523331.5,3392.69,30.32,109.30,13
05,05 - Estrie,17610,52,17091,519,373,0,16838,399,494966.5,3557.82,80.32,75.36,23
06,06 - Montréal,149572,121,146630,2942,4842,3,143358,1372,2072060.5,7218.52,66.01,233.68,84
07,07 - Outaouais,14273,11,13828,445,223,0,14004,46,402744,3543.94,11.37,55.37,6
08,08 - Abitibi-Témiscamingue,1280,0,1247,33,11,0,1264,5,147637,866.99,3.39,7.45,1
09,09 - Côte-Nord,725,7,703,22,5,0,688,32,89700.5,808.25,35.81,5.57,4
10,10 - Nord-du-Québec,137,0,135,2,0,0,137,0,13521.5,1013.20,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2269,4,2248,21,48,0,2166,55,89823,2526.08,61.35,53.44,7
12,12 - Chaudière-Appalaches,22567,66,22296,271,379,0,21773,415,431109.5,5234.63,96.08,87.91,31
13,13 - Laval,37304,41,35372,1932,937,0,35961,406,444658.5,8389.36,90.91,210.72,48
14,14 - Lanaudière,27498,23,26788,710,530,0,26660,308,522367,5264.12,58.71,101.46,15
15,15 - Laurentides,25358,41,24755,603,530,0,24536,292,630238,4023.56,46.09,84.10,36
16,16 - Montérégie,58687,60,56765,1922,1589,3,56550,548,1438226,4080.51,37.96,110.48,30
17,17 - Nunavik,333,7,316,17,0,0,153,180,14336.5,2322.74,1248.87,0.00,16
18,18 - Terres-Cries-de-la-Baie-James,143,0,143,0,5,0,137,1,18507,772.68,5.37,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1214,0,1207,7,1,0,1198,15,.,.,.,.,1
999,Ensemble du Québec,427472,525,417189,10283,11510,8,411284,4678,8565469.5,4990.64,54.45,134.38,336

