Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,nbrDeltaHospit,NbrPresomptifDelta,nbrDeltaPresomptif,nbrCriblageDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrCriblageBA1,nbrCriblageBA2,nbrCriblageBA1LSPQ,nbrCriblageBA2LSPQ,nbrOmicronTotalCrib,nbrBA2SANGER,nbrOmicronSanger,nbrSeqBA2,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,14274,994,0,0,75,3,97,1,0,176,13020,12549,1254,471,207,1674,343,1725,0,18,2,0,0,0,20,0,0,0,64,64,84
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,16927,997,0,0,107,10,177,0,0,294,15579,14814,1348,765,212,1984,319,2113,0,27,7,0,0,0,34,0,0,1,23,23,57
Région,RSS03,03 - Capitale-Nationale,Total,57203,6282,5,11,608,0,711,52,0,1371,47895,44995,9308,2900,1155,9964,1590,12208,14,313,1093,0,1,6,1427,0,0,2,212,212,1639
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,39449,1652,1,2,333,96,822,1,0,1252,36055,35496,3394,559,419,4284,668,3953,7,417,4,0,0,0,428,0,0,0,59,59,487
Région,RSS05,05 - Estrie,Total,34314,2033,0,11,652,14,810,1,0,1477,30600,29611,3714,989,623,3981,1088,4703,4,32,4,0,0,0,40,0,0,0,153,153,193
Région,RSS06,06 - Montréal,Total,207299,13821,126,285,4380,54,6570,516,3,11523,177015,162339,30284,14676,6891,30222,9850,44960,2128,868,1013,4,55,56,4124,4,24,52,377,405,4529
Région,RSS07,07 - Outaouais,Total,29742,3838,17,33,220,2,1053,0,0,1275,24495,23516,5247,979,239,4820,959,6226,7,35,0,0,0,0,42,0,2,0,40,42,84
Région,RSS08,08 - Abitibi-Témiscamingue,Total,7178,103,187,0,38,1,40,2,0,81,6788,6490,390,298,29,256,269,688,0,5,1,0,0,0,6,0,0,1,13,13,19
Région,RSS09,09 - Côte-Nord,Total,5630,163,0,0,13,0,54,0,0,67,5384,5343,246,41,22,279,39,287,0,6,7,0,0,0,13,0,0,0,3,3,16
Région,RSS10,10 - Nord-du-Québec,Total,870,22,1,0,5,0,11,1,0,17,827,807,43,20,13,50,7,63,1,0,2,0,0,0,3,0,0,0,0,0,3
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,4202,185,0,0,34,0,56,1,0,91,3920,3871,282,49,38,346,47,331,0,3,3,0,0,0,6,0,0,0,0,0,6
Région,RSS12,12 - Chaudière-Appalaches,Total,45961,3450,1,10,607,13,1542,6,0,2168,40112,38863,5849,1249,880,8249,1392,7098,1,88,81,0,0,0,170,0,0,0,50,50,220
Région,RSS13,13 - Laval,Total,48996,3280,13,23,633,3,2926,34,0,3596,41575,38511,7421,3064,809,7239,1486,10485,124,40,233,1,13,13,424,0,1,11,84,85,509
Région,RSS14,14 - Lanaudière,Total,47869,1819,38,11,528,13,1868,104,0,2513,42795,40471,5074,2324,740,5257,1312,7398,110,111,301,2,25,2,551,0,2,1,140,142,693
Région,RSS15,15 - Laurentides,Total,58878,2559,33,59,536,7,2626,199,0,3368,51467,48403,7411,3064,1114,7485,1732,10475,457,224,462,0,9,3,1155,0,1,2,236,237,1392
Région,RSS16,16 - Montérégie,Total,100485,4291,26,155,1977,46,2552,80,0,4655,90099,85763,10386,4336,2485,10682,3346,14722,374,517,56,0,15,6,968,0,11,3,280,291,1259
Région,RSS00,Inconnu,Total,4577,52,1,0,245,1,63,2,0,311,4154,3960,423,194,31,262,338,617,5,14,9,0,1,0,29,0,1,0,29,30,59
Région,RSS98,Hors-Québec,Total,5089,125,11,10,204,2,112,0,0,318,4564,4443,525,121,208,320,337,646,16,14,3,0,0,0,33,0,2,7,26,28,61
Région,RSS99,Ensemble du Québec,Total,728943,45666,460,610,11195,265,22090,1000,3,34553,636344,600245,92599,36099,16115,97354,25122,128698,3248,2732,3281,7,119,86,9473,4,44,80,1789,1837,11310

