group,1d,2d,3d,pop 2021
0-4,30918,12481,36,428991
5-11,441111,338122,32039,650347
12-17,532811,510326,122107,529446
18-29,1118301,1059208,453875,1216440
30-39,1026199,985780,521304,1118629
40-49,1030681,1006166,658030,1115327
50-59,1082811,1057221,806731,1155183
60-69,1118846,1106737,1003762,1168854
70-79,755885,754372,726542,783129
80 plus,401315,401758,391988,425520
Total 5+,7507960,7219690,4716378,8162875
Total,7538878,7232171,4716414,8591866
