No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,n.d.,n.d.,186,890.89,508,2437.27,61,292.66,995,4776.19,595,2857.55
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,23,65.87,278,795.08,1003,2864.49,27,77.11,2159,6149.07,1208,3431.14
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,5,25.95,134,696.34,278,1446.64,38,197.74,1041,5425.41,546,2849.98
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,n.d.,n.d.,34,396.06,181,2113.50,6,70.06,398,4656.60,274,3212.19
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,11,19.06,577,1000.03,220,381.37,116,201.09,3203,5541.95,2051,3542.07
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,n.d.,n.d.,87,482.42,99,550.34,37,205.68,1085,6043.56,511,2852.04
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,0,0.00,233,1122.38,25,120.87,37,178.89,1006,4870.37,518,2511.15
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,n.d.,n.d.,45,255.49,35,199.24,313,1781.75,1012,5772.30,549,3137.68
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),53,26.77,1588,802.93,2355,1192.01,639,323.44,10939,5535.54,6256,3164.98
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,n.d.,n.d.,500,1609.22,300,968.18,40,129.09,1532,4948.32,838,2708.99
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,5,19.89,713,2842.62,285,1138.72,156,623.30,1057,4231.39,464,1861.06
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,29,55.25,2305,4390.98,463,881.90,44,83.81,2360,4493.44,1213,2308.63
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,52,76.48,1997,2939.92,354,521.64,136,200.40,3327,4902.70,1574,2319.55
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,135,169.59,2620,3298.11,344,433.94,139,175.34,3735,4697.76,1953,2449.27
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,13,57.54,673,2979.46,108,478.26,16,70.85,973,4307.79,441,1952.02
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),247,88.54,8892,3191.65,1871,672.46,545,195.88,13251,4759.45,6541,2347.84
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,58,105.27,1375,2487.47,676,1218.94,121,218.18,2716,4878.36,809,1447.46
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,956,297.08,9693,3010.97,3758,1166.90,1349,418.88,16511,5096.58,7091,2175.99
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,644,183.07,9456,2680.33,5104,1442.61,1676,473.71,18642,5249.66,7154,2007.22
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,13,45.79,522,1839.74,135,476.09,69,243.33,1483,5225.97,810,2852.21
03,03 - Capitale-Nationale,,Total (incluant inconnus),1674,221.12,21067,2777.95,9693,1275.95,3232,425.45,39594,5188.42,16019,2089.67
04,04 - Mauricie et Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,n.d.,n.d.,387,2565.72,31,205.65,70,464.38,1262,8368.98,520,3447.13
04,04 - Mauricie et Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,97,376.71,308,1195.49,98,380.17,94,364.65,1133,4390.45,424,1641.25
04,04 - Mauricie et Centre-du-Québec,0413,0413 - RLS de Maskinongé,224,977.27,350,1527.98,78,340.75,191,834.39,1095,4783.54,287,1253.77
04,04 - Mauricie et Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,317,485.89,1043,1594.98,172,262.42,280,427.19,3219,4896.34,1728,2620.48
04,04 - Mauricie et Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,844,582.03,2639,1819.08,361,248.73,1079,743.43,8807,6043.41,3404,2326.41
04,04 - Mauricie et Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,48,106.89,754,1675.85,161,357.16,389,862.95,2800,6193.87,696,1535.27
