group,1d,2d,pop 2021
0-11,407,58,1079338
12-17,422714,165462,529446
18-29,862768,502944,1216440
30-39,842724,570205,1118629
40-49,909343,687218,1115327
50-59,999900,814297,1155183
60-69,1071846,963509,1168854
70-79,735065,699914,783129
80 plus,392535,372089,425520
Total 12+,6236895,4775638,7512528
Total,6237302,4775696,8591866
