group,0d,1d,2d,pop 2021
0-4,109801,41,2,
5-11,148845,14,0,
12-17,73246,39418,169,
18-29,192029,178522,9481,
30-39,140696,187517,11142,
40-49,96112,181483,11991,
50-59,71359,185141,17593,
60-69,38559,177775,20270,
70-79,18603,125905,20327,
80 plus,13527,87064,27791,
Total,902777,1162880,118766,
