Date,Regroupement,Croisement,Nom,dec_hebdo_tot_n,dec_hebdo_tot_t,dec_quo_tot_t,dec_quo_tot_n,dec_quo_tot_m,dec_quo_tot_tm,hos_heb_testpos_n,hos_heb_testpos_t,hos_quo_testpos_t,hos_quo_testpos_n,hos_quo_testpos_m,hos_act_testpos_n,hos_heb_dxurg_n,hos_heb_dxurg_t,hos_quo_dxurg_t,hos_quo_dxurg_n,hos_quo_dxurg_m,hos_act_dxurg_n,psi_quo_pos_n,psi_quo_inf_n,psi_quo_tes_n,psi_quo_pos_t,psi_heb_pos_n,psi_heb_inf_n,psi_heb_tes_n,psi_heb_pos_t,psi_quo_tot_m,psi_heb_cas_t
Date inconnue,Groupe d'âge,INC,Inconnu,0,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Groupe d'âge,TOT,Total,21845,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Sexe,MASC,Masculin,10973,.,.,0,,,.,.,.,.,,.,.,.,.,.,,.,0,0,0,.,.,.,.,.,,.
Date inconnue,Sexe,FEM,Féminin,10872,.,.,0,,,.,.,.,.,,.,.,.,.,.,,.,0,0,0,.,.,.,.,.,,.
Date inconnue,Sexe,INC,Inconnu,0,.,.,0,,,.,.,.,.,,.,.,.,.,.,,.,0,0,0,.,.,.,.,.,,.
Date inconnue,Sexe,TOT,Total,21845,.,.,0,,,.,.,.,.,,.,.,.,.,.,,.,0,0,0,.,.,.,.,.,,.
2020-01-23,Région,RSS01,01 - Bas-Saint-Laurent,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Région,RSS03,03 - Capitale-Nationale,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Région,RSS04,04 - Mauricie et Centre-du-Québec,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Région,RSS05,05 - Estrie,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Région,RSS06,06 - Montréal,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,2,2,0.00,0,2,2,0.00,,0.00
2020-01-23,Région,RSS07,07 - Outaouais,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Région,RSS08,08 - Abitibi-Témiscamingue,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Région,RSS09,09 - Côte-Nord,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Région,RSS10,10 - Nord-du-Québec,0,0.00,0.00,0,,,0,0.00,.,.,,.,0,0.00,.,.,,.,0,0,0,.,0,0,0,.,,0.00
