group,1d,2d,3d,pop 2021
0-4,246,54,9,428991
5-11,431257,320566,318,650347
12-17,530745,504596,82923,529446
18-29,1111411,1051566,419910,1216440
30-39,1019418,979026,488799,1118629
40-49,1026487,1001259,626867,1115327
50-59,1079705,1053892,779571,1155183
60-69,1115272,1104079,982227,1168854
70-79,753769,752876,714570,783129
80 plus,400594,400995,385457,425520
Total 5+,7468658,7168855,4480642,8162875
Total,7468904,7168909,4480651,8591866
