,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1378,16,1363,15,24,0,1225,129,196795,700.22,65.55,12.20
02,02 - Saguenay–Lac-Saint-Jean,8225,65,8043,182,230,0,7415,580,277378,2965.27,209.10,82.92
03,03 - Capitale-Nationale,19217,128,18916,301,747,7,16337,2133,760147,2528.06,280.60,98.27
04,04 - Mauricie et Centre-du-Québec,10771,90,10553,218,381,5,9105,1285,524322,2054.27,245.08,72.67
05,05 - Estrie,8941,155,8558,383,201,6,7640,1100,496770,1799.83,221.43,40.46
06,06 - Montréal,78534,837,75740,2794,3958,11,66005,8571,2078464,3778.46,412.37,190.43
07,07 - Outaouais,5168,65,4822,346,130,0,4612,426,404456,1277.77,105.33,32.14
08,08 - Abitibi-Témiscamingue,493,41,459,34,5,0,341,147,147658,333.88,99.55,3.39
09,09 - Côte-Nord,315,3,302,13,3,0,295,17,89368,352.48,19.02,3.36
10,10 - Nord-du-Québec,79,1,77,2,0,0,74,5,13485,585.84,37.08,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1660,3,1641,19,43,0,1535,82,89648,1851.69,91.47,47.97
12,12 - Chaudière-Appalaches,9346,200,9091,255,202,1,7993,1151,431910,2163.88,266.49,46.77
13,13 - Laval,18609,237,17230,1379,778,5,15587,2244,446572,4167.08,502.49,174.22
14,14 - Lanaudière,16381,155,15674,707,406,3,14430,1545,524642,3122.32,294.49,77.39
15,15 - Laurentides,12108,118,11506,602,374,2,10601,1133,633508,1911.26,178.85,59.04
16,16 - Montérégie,31644,469,30208,1436,1122,4,26527,3995,1443701,2191.87,276.72,77.72
17,17 - Nunavik,29,0,27,2,0,0,29,0,14413,201.21,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,21,1,21,0,2,0,18,1,18629,112.73,5.37,10.74
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,183,4,181,2,0,0,164,19,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,223106,2588,214416,8690,8606,44,189937,24563,8591866,2596.71,285.89,100.16
