group,1d,2d,3d,pop 2021
0-4,254,56,7,428991
5-11,425062,290653,175,650347
12-17,528528,499482,45096,529446
18-29,1108268,1045937,389281,1216440
30-39,1016375,973416,459194,1118629
40-49,1024383,997272,594859,1115327
50-59,1078311,1050606,748522,1155183
60-69,1114131,1101569,952368,1168854
70-79,752982,751458,696266,783129
80 plus,400181,399834,372063,425520
Total 5+,7448221,7110227,4257824,8162875
Total,7448475,7110283,4257831,8591866
