No,RSS,NoRLS,RLS,Cas,Cas actifs,Population,Cas pour 100 000,Cas actifs pour 100 000
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,57,12,20780,      274.30,       57.75
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,113,47,34800,      324.71,      135.06
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,36,22,19117,      188.31,      115.08
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,5,n.d.,8529,       58.62,n.d.
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,44,15,57630,       76.35,       26.03
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,n.d.,0,17978,n.d.,        0.00
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,n.d.,0,20726,n.d.,        0.00
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,12,n.d.,17514,       68.52,n.d.
01,01 - Bas-Saint-Laurent,,Total,281,105,197074,      142.59,       53.28
02,02 - Saguenay–Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,18,n.d.,31078,       57.92,n.d.
02,02 - Saguenay–Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,16,0,25064,       63.84,        0.00
02,02 - Saguenay–Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,51,6,52298,       97.52,       11.47
02,02 - Saguenay–Lac-Saint-Jean,0214,0214 - RLS de Jonquière,73,6,67417,      108.28,        8.90
02,02 - Saguenay–Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,207,0,79201,      261.36,        0.00
02,02 - Saguenay–Lac-Saint-Jean,0216,0216 - RLS de La Baie,33,n.d.,22574,      146.19,n.d.
02,02 - Saguenay–Lac-Saint-Jean,,Total,399,17,277632,      143.72,        6.12
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,84,7,54895,      153.02,       12.75
