Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,3067,994,0,0,8,105,113,1960,1468,1107,492,196,1688,227,1599
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3444,997,0,0,38,193,231,2216,1442,1228,774,196,2000,212,2002
Région,RSS03,03 - Capitale-Nationale,Total,16260,6277,5,11,371,803,1174,8793,5679,7467,3114,1066,10071,1191,10581
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,7523,1652,1,2,144,895,1039,4829,4211,2694,618,347,4407,381,3312
Région,RSS05,05 - Estrie,Total,9034,2034,0,11,236,903,1139,5850,4810,3184,1040,523,4073,388,4224
Région,RSS06,06 - Montréal,Total,75979,13823,126,285,2905,7607,10512,51233,36243,24746,14990,5919,31355,6631,39736
Région,RSS07,07 - Outaouais,Total,8373,3840,17,33,110,1096,1206,3277,1908,5096,1369,185,4876,1144,6465
Région,RSS08,08 - Abitibi-Témiscamingue,Total,929,103,193,0,15,56,71,562,278,367,284,18,273,246,651
Région,RSS09,09 - Côte-Nord,Total,429,163,0,0,9,56,65,201,150,228,51,20,282,41,279
Région,RSS10,10 - Nord-du-Québec,Total,67,22,2,0,4,12,16,27,6,40,21,12,51,6,61
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,688,185,0,0,33,56,89,414,343,274,71,38,346,59,345
Région,RSS12,12 - Chaudière-Appalaches,Total,13990,3452,1,10,338,1612,1950,8577,7308,5413,1269,815,8323,980,6682
Région,RSS13,13 - Laval,Total,19350,3279,13,23,475,3032,3507,12528,9436,6822,3092,692,7357,946,9914
Région,RSS14,14 - Lanaudière,Total,11808,1819,38,11,220,1961,2181,7759,5312,4049,2447,644,5359,821,6496
Région,RSS15,15 - Laurentides,Total,13658,2558,33,59,271,2736,3007,8001,4876,5657,3125,1003,7616,1067,8782
Région,RSS16,16 - Montérégie,Total,28085,4291,25,155,1290,2908,4198,19416,14196,8669,5220,2138,11044,2435,13889
Région,RSS00,Inconnu,Total,789,51,1,0,20,73,93,644,436,145,208,24,272,90,353
Région,RSS98,Hors-Québec,Total,916,125,11,10,166,139,305,465,327,451,138,181,352,262,589
Région,RSS99,Ensemble du Québec,Total,214389,45665,466,610,6653,24243,30896,136752,98429,77637,38323,14017,99745,17127,115960

