group,1d,2d,pop 2021
0-4,221,51,341718
5-11,221137,158,737620
12-17,513605,470291,529446
18-29,1073587,1001129,1216440
30-39,987441,936175,1118629
40-49,1006041,972083,1115327
50-59,1064383,1031763,1155183
60-69,1104257,1089259,1168854
70-79,748390,746058,783129
80 plus,398250,396864,425520
Total 5+,7117091,6643780,8250148
Total,7117312,6643831,8591866
