group,0d,1d,2d,pop 2021
0-4,88690,76,15,109960
5-11,109066,35448,67,149671
12-17,29422,97737,89570,115666
18-29,6408,317355,292511,367326
30-39,28389,274969,258115,330128
40-49,18039,243971,232067,281268
50-59,9657,227337,218738,254246
60-69,0,207065,201269,219244
70-79,0,144608,141163,148691
80 plus,46,100441,96285,102264
Total 12+,91961,1613483,1529718,1818833
Total,288881,1649007,1529800,2078464
