,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4174,9,4152,22,54,0,4066,54,196934.5,2119.49,27.44,27.42,10
02,02 - Saguenay-Lac-Saint-Jean,11338,13,11120,218,271,0,11018,49,277505,4085.69,17.67,97.66,4
03,03 - Capitale-Nationale,34397,20,34043,354,1124,2,33045,228,757803,4539.04,29.99,148.32,19
04,04 - Mauricie et Centre-du-Québec,17369,41,17132,237,569,0,16503,297,523331.5,3318.93,56.64,108.73,36
05,05 - Estrie,16870,28,16359,511,368,0,16230,272,494966.5,3408.31,54.75,74.35,17
06,06 - Montréal,147098,187,144164,2934,4822,0,140754,1522,2072060.5,7099.12,73.23,232.72,163
07,07 - Outaouais,14115,27,13667,448,222,0,13687,206,402744,3504.71,50.93,55.12,24
08,08 - Abitibi-Témiscamingue,1261,4,1228,33,9,0,1226,26,147637,854.12,17.61,6.10,1
09,09 - Côte-Nord,655,6,634,21,5,0,609,41,89700.5,730.21,45.88,5.57,0
10,10 - Nord-du-Québec,136,0,134,2,0,0,136,0,13521.5,1005.81,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2185,3,2164,21,47,0,2118,20,89823,2432.56,22.31,52.33,9
12,12 - Chaudière-Appalaches,21618,103,21345,273,373,0,20693,552,431109.5,5014.50,127.80,86.52,67
13,13 - Laval,36595,45,34668,1927,933,0,35213,449,444658.5,8229.91,100.54,209.82,54
14,14 - Lanaudière,27034,38,26324,710,526,1,26160,348,522367,5175.29,66.33,100.70,29
15,15 - Laurentides,24712,49,24110,602,526,3,23774,412,630238,3921.06,65.03,83.46,31
16,16 - Montérégie,57572,100,55648,1924,1582,0,55254,736,1438226,4002.99,50.98,110.00,78
17,17 - Nunavik,63,1,61,2,0,0,52,11,14336.5,439.44,76.32,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,5,0,137,0,18507,767.28,0.00,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1170,2,1163,7,1,0,1151,18,.,.,.,.,1
999,Ensemble du Québec,418508,676,408261,10247,11437,6,401830,5241,8565469.5,4885.99,61.00,133.52,543

