group,0d,1d,2d,3d,pop 2021
0-4,0,84,17,0,109960
5-11,0,82001,57710,0,149671
12-17,0,99977,92784,0,115666
18-29,0,327033,304601,0,367326
30-39,0,283646,268554,0,330128
40-49,0,250626,240151,0,281268
50-59,0,230927,223549,0,254246
60-69,0,211145,205804,0,219244
70-79,0,147821,144597,0,148691
80 plus,0,104132,100238,0,102264
Total 12+,0,1655307,1580278,0,1818833
Total,0,1737392,1638005,0,2078464
