Date,Cumul des personnes avec des analyses négatives,Cumul de cas confirmés,Nouveaux cas,Nombre cumulatif de décès,Nouveaux décès,Hospitalisations,Soins intensifs,Personnes testées,Cas actifs,Tests (Volumétrie),Hospitalisations (nouvelle méthode),,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,,CHSLD,RPA,Domicile,Autres - Inconnu,,Montréal et Laval,Régions à proximité,Autres régions,,Cas Labo,Cas Lien Épi,Cas Total,Cumul Labo,Cumul Épi,NV CHSLD,NV RPA,NV Dom,NV Autres,Moy mobile Décès,Inc Hors-SI,Inc SI,Moy. mobile (cas),Analyses nég (Nouv.),Cas labo (Nouv.),Cas labo (ancien)
27/02/2020,91,1,,,,0,,92,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,0,,,,,,,,,105,0,0
28/02/2020,104,1,0,,0,0,,105,5,,,,0,0,0.1323698573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0.0219437367,,1,0,1,1,0,,,,,,,,,124,0,1
29/02/2020,138,1,0,,0,0,,139,5,,,,0,0,0.1323698573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0.0219437367,,0,0,0,1,0,,,,,,,,,143,0,1
01/03/2020,189,1,0,,0,0,,190,6,,,,0,0,0.1323698573,0,0,0.04841074777,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.03986601829,0,0.0219437367,,0,1,1,1,1,,,,,,,,1.3,167,0,1
02/03/2020,203,1,0,,0,0,,204,9,,,,0,0,0.1323698573,0,0,0.1452322433,0,0,0,0,1.111135803,0,0,0,0,0,0,0,,,,,,,0.1195980549,0,0.0438874734,,3,0,3,4,1,,,,,,,,1.4,181,1,4
03/03/2020,203,1,0,,0,0,,204,11,,,,0,0,0.1323698573,0,0,0.1452322433,0,0,0,0,1.111135803,0,0,0,0.1594977734,0.06979579843,0,0,,,,,,,0.1195980549,0,0.08777494679,,2,0,2,6,1,,,,,,,,1.6,192,1,6
04/03/2020,242,2,1,,0,0,,244,13,,,,0,0,0.1323698573,0,0,0.1452322433,0,0,0,0,1.111135803,0,0,0,0.1594977734,0.2093873953,0,0,,,,,,,0.1195980549,0,0.1316624202,,2,0,2,8,1,,,,,,,,1.6,219,1,8
05/03/2020,260,3,1,,0,0,,263,14,,,,0,0,0.1323698573,0,0,0.1452322433,0,0,0,0,1.111135803,0,0,0,0.1594977734,0.2791831937,0,0,,,,,,,0.1195980549,0.06786277062,0.1316624202,,1,0,1,9,1,,,,,,,,1.6,244,2,9
06/03/2020,303,3,0,,0,0,,306,16,,,,0,0,0.1323698573,0,0,0.1452322433,0,0,0,0,1.111135803,0,0,0,0.3189955468,0.3489789922,0,0,,,,,,,0.1195980549,0.1357255412,0.1536061569,,2,0,2,11,1,,,,,,,,1.3,290,2,11
07/03/2020,340,4,1,,0,0,,344,16,,,,0,0,0.1323698573,0,0,0.1452322433,0,0,0,0,1.111135803,0,0,0,0.3189955468,0.3489789922,0,0,,,,,,,0.1195980549,0.1357255412,0.1536061569,,0,0,0,11,1,,,,,,,,1.3,326,2,11
08/03/2020,376,4,0,,0,0,,380,17,353,,,0,0,0.1323698573,0,0,0.1936429911,0,0,0,0,1.111135803,0,0,0,0.3189955468,0.3489789922,0,0,,,,,,,0.1594640731,0.1357255412,0.1536061569,,1,0,1,12,1,,,,,,,,2.4,356,2,12
09/03/2020,465,5,1,,0,0,,470,18,68,,,0,0,0.1323698573,0,0,0.2420537388,0,0,0,0,1.111135803,0,0,0,0.3189955468,0.3489789922,0,0,,,,,,,0.1993300914,0.1357255412,0.1536061569,,1,0,1,13,1,,,,,,,,3.1,418,4,13
10/03/2020,570,8,3,,0,0,,578,19,145,,,0,0,0.1323698573,0,0,0.3388752344,0,0,0,0,1.111135803,0,0,0,0.3189955468,0.3489789922,0,0,,,,,,,0.279062128,0.1357255412,0.1536061569,,1,1,2,14,2,,,,,,,,3.4,542,6,14
11/03/2020,798,13,5,,0,0,,811,29,225,,,0,0,0.1323698573,0.191445818,0.2027727141,0.4841074777,0,0,0,0,1.111135803,0.2323911422,0,0,0.4784933202,0.5583663875,0,0,,,,,,,0.3986601829,0.2714510825,0.2633248404,,10,0,10,24,2,,,,,,,,6.1,745,13,24
12/03/2020,1079,17,4,,0,0,,1096,35,377,,,0,0,0.1323698573,0.191445818,0.4055454282,0.629339721,0,0,0,0,1.111135803,0.2323911422,0,0,0.6379910936,0.6281621859,0,0,,,,,,,0.5182582377,0.3393138531,0.3072123138,,6,0,6,30,2,,,,,,,,7.9,1069,18,30
13/03/2020,1399,24,7,,0,0,,1423,39,287,,,0,0,0.1323698573,0.191445818,0.4055454282,0.7261612165,0,0,0,0,1.111135803,0.2323911422,0,0.1922736747,0.6379910936,0.6979579843,0,0,,,,,,,0.5979902743,0.4750393943,0.3072123138,,4,0,4,34,2,,,,,,,,10.1,1325,23,34
14/03/2020,2270,39,15,,0,0,,2309,58,695,,,0,0,0.3971095718,0.7657832718,0.6083181423,0.9198042076,0,0,0,7.375719133,1.111135803,0.2323911422,0,0.1922736747,1.116484414,1.046936976,0,0,,,,,,,0.7574543474,0.6786277062,0.5705371541,,19,0,19,53,2,,,,,,,,16.1,1974,36,53
15/03/2020,3079,50,11,0,0,2,0,3129,71,811,,,0.5074236074,0,0.7942191436,0.7657832718,0.6083181423,1.210268694,0,0,0,7.375719133,1.111135803,0.6971734265,0,0.3845473493,1.116484414,1.046936976,0,0,,,,,,,0.9966504571,0.7464904768,0.7021995743,,13,0,13,66,2,0,0,0,0,,,,20.6,2729,44,66
16/03/2020,4778,74,24,0,0,5,0,4852,87,1157,,,0.5074236074,0,0.7942191436,0.7657832718,1.01386357,1.452322433,0,0,0,7.375719133,1.111135803,0.9295645687,0,0.576821024,1.435479961,1.465711767,0,0,,,,,,,1.195980549,1.221529871,0.8119182578,,17,0,17,83,2,0,0,0,0,,,,30.3,3847,73,83
