group,0d,1d,2d,3d,pop 2021
0-4,0,84,16,0,109960
5-11,0,81901,58769,0,149671
12-17,0,99941,92836,0,115666
18-29,0,326879,304547,0,367326
30-39,0,283469,268547,0,330128
40-49,0,250668,240328,0,281268
50-59,0,230871,223592,0,254246
60-69,0,211153,205908,0,219244
70-79,0,147921,144725,0,148691
80 plus,0,104286,100429,0,102264
Total 12+,0,1655188,1580912,0,1818833
Total,0,1737173,1639697,0,2078464
