Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;65;774;576,6;5310;3955,5;7;n.p.;384;286
Anjou;27;313;731,4;1712;4000,4;< 5;n.p.;53;123,8
Baie D'urfé;< 5;7;n.p.;56;1464,8;0;;< 5;n.p.
Beaconsfield;< 5;55;284,6;240;1242;0;;10;* 51,7
Côte-des-Neiges–Notre-Dame-de-Grâce;114;884;530,9;6066;3642,8;13;*7,8;306;183,8
Côte-Saint-Luc;17;178;548,6;1533;4724,5;< 5;n.p.;94;289,7
Dollard-des-Ormeaux;30;256;523,5;1348;2756,7;< 5;n.p.;101;206,5
Dorval;10;81;426,8;471;2481,6;< 5;n.p.;65;342,5
Hampstead;< 5;23;* 329,8;196;2810,8;0;;< 5;n.p.
Kirkland;7;64;317,6;371;1841,1;0;;29;* 143,9
Lachine;19;199;447,3;1547;3477,3;< 5;n.p.;122;274,2
LaSalle;31;406;528,3;2950;3838,5;< 5;n.p.;190;247,2
L'Île-Bizard–Sainte-Geneviève;11;162;879,8;540;2932,7;< 5;n.p.;56;304,1
Mercier–Hochelaga-Maisonneuve;26;558;410,2;4762;3500,9;< 5;n.p.;391;287,4
Montréal Est;< 5;29;* 753,2;129;3350,6;< 5;n.p.;5;n.p.
Montréal-Nord;57;696;826,3;5240;6220,8;< 5;n.p.;259;307,5
Montréal-Ouest;< 5;7;n.p.;73;1445,5;0;;< 5;n.p.
Mont-Royal;9;67;330,4;691;3408;0;;91;448,8
Outremont;12;124;517,7;789;3293,8;< 5;n.p.;15;* 62,6
Pierrefonds–Roxboro;54;476;686,9;2012;2903,4;9;*13;66;95,2
Plateau Mont-Royal;31;416;400;2496;2400;< 5;n.p.;135;129,8
Pointe-Claire;19;165;525,8;604;1924,8;< 5;n.p.;39;124,3
Rivière-des-Prairies–Pointe-aux-Trembles;59;730;683,9;4814;4509,9;< 5;n.p.;263;246,4
Rosemont–La Petite Patrie;54;538;385,4;4075;2919,3;9;n.p.;267;191,3
Sainte-Anne-de-Bellevue;0;9;n.p.;78;1573,2;< 5;n.p.;11;* 221,9
Saint-Laurent;55;648;655,7;3658;3701,4;5;n.p.;115;116,4
Saint-Léonard;51;776;991;3682;4702,1;< 5;n.p.;64;81,7
Senneville;0;6;n.p.;19;* 2063;0;;0;
Sud-Ouest;32;297;380;2258;2889,3;< 5;n.p.;186;238
Verdun;9;185;267,2;1805;2607,3;< 5;n.p.;174;251,3
Ville-Marie;32;324;363,4;2599;2914,7;< 5;n.p.;92;103,2
Villeray–Saint-Michel–Parc-Extension;91;862;599,2;5702;3963,8;< 5;n.p.;138;95,9
Westmount;0;39;192;445;2190,8;6;n.p.;51;251,1
Territoire à confirmer;38;230;;1377;;< 5;;47;
Total à Montréal;968;10584;512,4;69648;3371,7;101;4,9;3826;185,2
