Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;7;315;234,6;20034;14923,5;< 5;n.p.;524;390,3
Anjou;5;98;229;6873;16059,9;< 5;n.p.;84;196,3
Baie D'urfé;0;5;n.p.;291;7611,8;0;;< 5;n.p.
Beaconsfield;< 5;63;326;1537;7953,8;< 5;n.p.;27;* 139,7
Côte-des-Neiges–Notre-Dame-de-Grâce;13;379;227,6;23864;14331;7;n.p.;405;243,2
Côte-Saint-Luc;< 5;113;348,2;5330;16426,3;< 5;n.p.;129;397,6
Dollard-des-Ormeaux;< 5;134;274;6107;12489;0;;131;267,9
Dorval;0;47;247,6;2069;10900,9;0;;70;368,8
Hampstead;< 5;38;545;1040;14914,7;0;;6;n.p.
Kirkland;< 5;38;188,6;1918;9518,1;< 5;n.p.;40;198,5
Lachine;5;129;290;6275;14104,6;< 5;n.p.;189;424,8
LaSalle;< 5;172;223,8;11083;14421;0;;258;335,7
L'Île-Bizard–Sainte-Geneviève;< 5;69;374,7;2364;12838,8;0;;79;429
Mercier–Hochelaga-Maisonneuve;16;321;236;19347;14223,2;< 5;n.p.;498;366,1
Montréal Est;0;15;* 389,6;651;16909,1;0;;11;* 285,7
Montréal-Nord;6;200;237,4;15242;18094,8;< 5;n.p.;381;452,3
Montréal-Ouest;< 5;19;* 376,2;551;10910,9;0;;< 5;n.p.
Mont-Royal;< 5;80;394,6;2555;12601,1;0;;95;468,5
Outremont;< 5;81;338,1;2805;11709,9;0;;30;* 125,2
Pierrefonds–Roxboro;< 5;151;217,9;8926;12880,8;< 5;n.p.;101;145,7
Plateau Mont-Royal;8;269;258,7;12428;11950;< 5;n.p.;192;184,6
Pointe-Claire;< 5;75;239;2826;9005,7;0;;64;204
Rivière-des-Prairies–Pointe-aux-Trembles;7;262;245,4;17680;16563,1;< 5;n.p.;351;328,8
Rosemont–La Petite Patrie;13;356;255;17600;12608,4;< 5;n.p.;350;250,7
Sainte-Anne-de-Bellevue;0;13;* 262,2;441;8894,7;0;;14;* 282,4
Saint-Laurent;10;249;252;14699;14873,3;< 5;n.p.;171;173
Saint-Léonard;7;180;229,9;14337;18309,2;0;;166;212
Senneville;0;< 5;n.p.;84;9120,5;0;;0;
Sud-Ouest;< 5;125;159,9;9665;12367,1;< 5;n.p.;228;291,7
Verdun;5;157;226,8;7536;10885,6;0;;211;304,8
Ville-Marie;11;223;250,1;11789;13220,8;< 5;n.p.;148;166
Villeray–Saint-Michel–Parc-Extension;9;277;192,6;21759;15125,9;< 5;n.p.;241;167,5
Westmount;6;84;413,5;1940;9551;< 5;n.p.;64;315,1
Territoire à confirmer;5;124;;7366;;< 5;;31;
Total à Montréal;159;4865;235,5;279013;13507,2;39;1,9;5295;256,3
