group,1d,2d,3d,pop 2021
0-4,263,60,8,428991
5-11,415612,209298,67,650347
12-17,526918,491577,5010,529446
18-29,1103751,1036462,335786,1216440
30-39,1013236,965454,408778,1118629
40-49,1022677,992014,542259,1115327
50-59,1077120,1046479,694637,1155183
60-69,1113310,1098784,913171,1168854
70-79,752613,750130,681054,783129
80 plus,399977,399104,364026,425520
Total 5+,7425214,6989302,3944788,8162875
Total,7425477,6989362,3944796,8591866
