date,Regroupement,Croisement,Nom,cas_cum_lab_n,cas_cum_epi_n,cases,cas_cum_tot_t,cas_quo_tot_t,cas_quo_lab_n,cas_quo_epi_n,new_cases,active_cases,act_cum_tot_t,cas_quo_tot_m,cas_quo_tot_tm,recovered,new_recovered,deaths,dec_cum_tot_t,dec_quo_tot_t,deaths_chsld,deaths_psr,deaths_home,deaths_other,new_deaths,dec_quo_chs_n,dec_quo_rpa_n,dec_quo_dom_n,dec_quo_aut_n,dec_quo_tot_m,dec_quo_tot_tm,hos_cum_reg_n,hos_cum_si_n,hos_cum_tot_n,hos_cum_tot_t,hos_quo_tot_t,hos_quo_reg_n,hos_quo_si_n,hos_quo_tot_n,hos_quo_tot_m,hos_act_reg_n,hos_act_si_n,hos_act_tot_n,psi_cum_tes_n,psi_cum_pos_n,negative_tests,psi_cum_adm_n,psi_quo_pos_n,new_negative_tests,psi_quo_tes_n,psi_quo_pos_t,psi_heb_pos_t
2020-10-27,Région,RSS99,Ensemble du Québec,95431,7346,102777,1199.9,11.36,945,25,970,9517,111.45,946.86,11.09,85596,879,6246,72.92,0.21,4123,1066,747,310,18,7,5,4,2,19.57,0.23,8007.0,1785.0,9792.0,114.32,0.64,47.0,8.0,55.0,48.57,437.0,89.0,526.0,1801261,95734,1705527,2854052,1071,24514,25585,4.19,4.18
2020-10-28,Région,RSS99,Ensemble du Québec,96406,7361,103767,1211.46,11.59,975,15,990,9628,112.75,967.43,11.33,86449,853,6269,73.19,0.27,4130,1073,755,311,23,7,7,8,1,21.14,0.25,8049.0,1792.0,9841.0,114.89,0.57,42.0,7.0,49.0,51.14,431.0,78.0,509.0,1811822,96663,1715159,2879437,929,24456,25385,3.66,4.18
2020-10-29,Région,RSS99,Ensemble du Québec,97449,7382,104831,1223.88,12.46,1043,21,1064,9660,113.13,995.71,11.66,87459,1010,6287,73.4,0.21,4140,1076,759,312,18,10,3,4,1,21.71,0.25,8095.0,1801.0,9896.0,115.53,0.64,46.0,9.0,55.0,51.29,434.0,81.0,515.0,1822097,97674,1724423,2905307,1011,24859,25870,3.91,4.18
2020-10-30,Région,RSS99,Ensemble du Québec,98393,7391,105784,1235.01,11.16,944,9,953,9602,112.45,982.57,11.51,88441,982,6313,73.7,0.3,4152,1078,769,314,26,12,2,10,2,21.0,0.25,8127.0,1806.0,9933.0,115.97,0.43,32.0,5.0,37.0,50.71,422.0,82.0,504.0,1832665,98648,1734017,2930564,974,24283,25257,3.86,4.18
2020-10-31,Région,RSS99,Ensemble du Québec,99361,7405,106766,1246.47,11.5,968,14,982,9631,112.79,995.86,11.66,89360,919,6343,74.05,0.35,4167,1083,778,315,30,15,5,9,1,21.29,0.25,8182.0,1811.0,9993.0,116.67,0.7,55.0,5.0,60.0,51.29,412.0,84.0,496.0,1842024,99714,1742310,2952162,1066,20532,21598,4.94,4.18
2020-11-01,Région,RSS99,Ensemble du Québec,100371,7418,107789,1258.41,11.98,1010,13,1023,9726,113.9,1020.71,11.95,90270,910,6363,74.29,0.23,4178,1085,783,317,20,11,2,5,2,21.29,0.25,8224.0,1818.0,10042.0,117.24,0.57,42.0,7.0,49.0,51.86,418.0,81.0,499.0,1850255,100628,1749627,2969032,914,15956,16870,5.42,4.81
2020-11-02,Région,RSS99,Ensemble du Québec,101250,7435,108685,1268.87,10.49,879,17,896,9724,113.88,1050.29,12.3,91133,863,6375,74.43,0.14,4182,1088,787,318,12,4,3,4,1,21.57,0.25,8267.0,1825.0,10092.0,117.82,0.59,43.0,7.0,50.0,51.57,442.0,85.0,527.0,1858466,101457,1757009,2987013,829,17152,17981,4.61,4.81
2020-11-03,Région,RSS99,Ensemble du Québec,102299,7449,109748,1281.28,12.45,1049,14,1063,9859,115.46,1084.86,12.7,92009,876,6395,74.66,0.23,4190,1092,793,320,20,8,4,6,2,21.57,0.25,8323.0,1828.0,10151.0,118.51,0.69,56.0,3.0,59.0,54.71,459.0,81.0,540.0,1868980,102519,1766461,3011235,1062,23160,24222,4.38,4.81
2020-11-04,Région,RSS99,Ensemble du Québec,103448,7464,110912,1294.87,13.63,1149,15,1164,10166,119.05,1121.43,13.13,92834,825,6418,74.93,0.27,4200,1102,796,320,23,10,10,3,0,20.43,0.24,8366.0,1838.0,10204.0,119.13,0.62,43.0,10.0,53.0,55.57,457.0,82.0,539.0,1879787,103659,1776128,3038617,1140,26242,27382,4.16,4.81
2020-11-05,Région,RSS99,Ensemble du Québec,104706,7477,112183,1309.71,14.88,1258,13,1271,10335,121.03,1161.14,13.6,93903,1069,6438,75.16,0.23,4212,1105,801,320,20,12,3,5,0,21.71,0.25,8415.0,1842.0,10257.0,119.75,0.62,49.0,4.0,53.0,58.0,463.0,77.0,540.0,1890839,104991,1785848,3066073,1332,26124,27456,4.85,4.81
2020-11-06,Région,RSS99,Ensemble du Québec,105889,7489,113378,1323.66,13.99,1183,12,1195,10560,123.67,1205.43,14.12,94847,944,6464,75.47,0.3,4227,1109,807,321,26,15,4,6,1,24.29,0.28,8467.0,1849.0,10316.0,120.44,0.69,52.0,7.0,59.0,61.0,446.0,79.0,525.0,1901359,106249,1795110,3092501,1258,25170,26428,4.76,4.81
