group,0d,1d,2d,pop 2021
0-4,88563,112,9,109960
5-11,147111,24,2,149671
12-17,44645,81018,38882,115666
18-29,68103,252356,161987,367326
30-39,63715,239091,174270,330128
40-49,41557,218925,169120,281268
50-59,25207,211251,173199,254246
60-69,7620,198119,179676,219244
70-79,3458,138785,130233,148691
80 plus,3694,95642,87646,102264
Total 12+,257999,1435187,1115013,1818833
Total,493673,1435323,1115024,2078464
