Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrDeltaPresomptif,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrOmicronTotalCrib,nbrOmicronSanger,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,8289,994,0,0,26,98,125,7171,6702,1118,469,206,1675,221,1587,1,0,2,2,0,0,0,2
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,9634,997,0,0,68,177,245,8392,7633,1242,759,212,1984,217,2001,0,1,3,4,0,0,0,4
Région,RSS03,03 - Capitale-Nationale,Total,34851,6280,5,11,510,714,1274,27331,24460,7520,2871,1151,9966,1078,10391,50,284,32,316,0,0,0,316
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,24934,1652,1,2,258,822,1081,22199,21654,2735,545,419,4286,375,3280,1,12,64,76,0,0,0,76
Région,RSS05,05 - Estrie,Total,23195,2033,0,11,481,811,1293,19859,18889,3336,970,622,3981,528,4306,1,3,22,25,0,0,0,25
Région,RSS06,06 - Montréal,Total,153776,13821,126,285,4135,6571,11212,128838,116708,24938,12130,6890,30222,7097,37068,506,1918,514,2432,26,0,26,2458
Région,RSS07,07 - Outaouais,Total,21230,3839,17,33,178,1053,1231,16110,15822,5120,288,238,4822,787,5408,0,7,24,31,2,0,2,33
Région,RSS08,08 - Abitibi-Témiscamingue,Total,3412,103,187,0,29,40,70,3053,2949,359,104,29,256,244,463,1,2,2,4,0,0,0,4
Région,RSS09,09 - Côte-Nord,Total,1997,163,0,0,11,54,65,1769,1728,228,41,22,279,33,269,0,0,6,6,0,0,0,6
Région,RSS10,10 - Nord-du-Québec,Total,278,22,1,0,5,11,17,239,220,39,19,13,50,5,58,1,1,0,1,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,2118,185,0,0,33,56,90,1844,1795,274,49,38,346,37,323,1,1,0,1,0,0,0,1
Région,RSS12,12 - Chaudière-Appalaches,Total,30873,3452,1,10,507,1547,2060,25356,24674,5517,682,874,8257,1121,6199,6,42,26,68,0,0,0,68
Région,RSS13,13 - Laval,Total,36616,3280,13,23,606,2926,3563,29768,28406,6848,1362,809,7239,965,8210,31,110,31,141,1,0,1,142
Région,RSS14,14 - Lanaudière,Total,32858,1819,38,11,368,1874,2347,28748,26934,4110,1814,734,5263,772,5924,105,107,38,145,1,0,1,146
Région,RSS15,15 - Laurentides,Total,42099,2558,33,59,439,2626,3264,36384,33619,5715,2765,1114,7483,1089,8480,199,450,124,574,1,0,1,575
Région,RSS16,16 - Montérégie,Total,72495,4291,26,155,1835,2552,4467,63636,60322,8859,3314,2485,10682,1893,12173,80,348,271,619,11,0,11,630
Région,RSS00,Inconnu,Total,2285,51,1,0,138,63,203,2032,1887,253,145,31,261,180,398,2,5,10,15,1,0,1,16
Région,RSS98,Hors-Québec,Total,2051,125,11,10,201,112,313,1592,1493,459,99,208,321,270,558,0,17,7,24,4,0,4,28
Région,RSS99,Ensemble du Québec,Total,502991,45665,460,610,9828,22107,32920,424321,395895,78670,28426,16095,97373,16912,107096,985,3308,1176,4484,47,0,47,4531

