Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;231;2868;2136,4;16503;12293,2;< 5;n.p.;496;369,5
Anjou;110;1210;2827,4;5873;13723,2;0;;80;186,9
Baie D'urfé;10;89;2328;222;5807;0;;< 5;n.p.
Beaconsfield;25;443;2292,5;1190;6158,1;< 5;n.p.;22;* 113,8
Côte-des-Neiges–Notre-Dame-de-Grâce;274;3850;2312;19169;11511,5;< 5;n.p.;374;224,6
Côte-Saint-Luc;59;652;2009,4;4298;13245,8;< 5;n.p.;121;372,9
Dollard-des-Ormeaux;111;1188;2429,5;4865;9949,1;< 5;n.p.;126;257,7
Dorval;35;520;2739,7;1592;8387,8;0;;69;363,5
Hampstead;6;120;1720,9;744;10669,7;0;;6;n.p.
Kirkland;29;498;2471,3;1543;7657,2;0;;36;* 178,7
Lachine;128;1367;3072,7;5108;11481,5;0;;172;386,6
LaSalle;205;2038;2651,8;9259;12047,7;0;;248;322,7
L'Île-Bizard–Sainte-Geneviève;56;510;2769,8;1843;10009,2;0;;76;412,8
Mercier–Hochelaga-Maisonneuve;245;3867;2842,9;15875;11670,7;< 5;n.p.;454;333,8
Montréal Est;7;87;2259,7;524;13610,4;0;;9;* 233,8
Montréal-Nord;158;1763;2093;12807;15204,1;< 5;n.p.;342;406
Montréal-Ouest;7;107;2118,8;420;8316,8;0;;< 5;n.p.
Mont-Royal;38;460;2268,7;1975;9740,6;0;;94;463,6
Outremont;34;458;1912;2237;9338,7;0;;29;* 121,1
Pierrefonds–Roxboro;165;1876;2707,2;7373;10639,7;< 5;n.p.;89;128,4
Plateau Mont-Royal;249;2944;2830,8;10352;9953,8;< 5;n.p.;176;169,2
Pointe-Claire;51;730;2326,3;2226;7093,7;< 5;n.p.;59;188
Rivière-des-Prairies–Pointe-aux-Trembles;237;2839;2659,7;14731;13800,4;< 5;n.p.;325;304,5
Rosemont–La Petite Patrie;292;3874;2775,3;14467;10363,9;< 5;n.p.;331;237,1
Sainte-Anne-de-Bellevue;5;126;2541,3;353;7119,8;0;;13;* 262,2
Saint-Laurent;140;1878;1900,3;12368;12514,7;< 5;n.p.;160;161,9
Saint-Léonard;181;2023;2583,5;12281;15683,5;< 5;n.p.;153;195,4
Senneville;0;26;* 2823;68;7383,3;0;;0;
Sud-Ouest;167;2117;2708,9;7896;10103,5;< 5;n.p.;211;270
Verdun;150;1731;2500,4;6204;8961,6;0;;202;291,8
Ville-Marie;238;2481;2782,3;9575;10737,9;< 5;n.p.;134;150,3
Villeray–Saint-Michel–Parc-Extension;275;3614;2512,3;18133;12605,2;< 5;n.p.;208;144,6
Westmount;24;329;1619,7;1410;6941,7;< 5;n.p.;59;290,5
Territoire à confirmer;262;1730;;4423;;0;;27;
Total à Montréal;4204;50413;2440,5;227907;11033,1;28;*1,4;4907;237,6
