,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,9516,355,9479,37,65,0,6190,3261,197738.33333,4812.42,1649.78,32.87,236
02,02 - Saguenay-Lac-Saint-Jean,16844,463,16588,256,281,0,13003,3560,278600,6045.94,1277.84,100.86,165
03,03 - Capitale-Nationale,52450,1665,52091,359,1151,1,41213,10086,761103.66667,6891.31,1315.72,151.23,531
04,04 - Mauricie et Centre-du-Québec,33501,622,33261,240,602,0,26198,6701,527666.66667,6348.89,1263.66,114.09,605
05,05 - Estrie,32388,538,31863,525,425,5,27166,4797,502406,6446.58,944.33,84.59,318
06,06 - Montréal,227907,4204,224707,3200,4907,8,189895,33105,2061667.3333,11054.50,1598.13,238.01,3344
07,07 - Outaouais,26682,789,26240,442,224,0,18829,7629,405378.66667,6581.99,1861.92,55.26,494
08,08 - Abitibi-Témiscamingue,3759,245,3725,34,22,1,2272,1465,147876.33333,2541.99,990.26,14.88,106
09,09 - Côte-Nord,2192,130,2165,27,5,0,1161,1026,90082.333333,2433.33,1144.22,5.55,56
10,10 - Nord-du-Québec,296,30,283,13,0,0,179,117,13383.666667,2211.65,879.43,0.00,11
11,11 - Gaspésie-Îles-de-la-Madeleine,3566,115,3530,36,48,0,2597,921,90783.333333,3928.03,1013.25,52.87,42
12,12 - Chaudière-Appalaches,38199,789,37926,273,400,0,30526,7273,434525.66667,8790.97,1665.95,92.05,398
13,13 - Laval,53858,963,51891,1967,956,2,45587,7315,445993.33333,12075.97,1625.11,214.35,594
14,14 - Lanaudière,48091,1440,47376,715,553,3,37563,9975,530581,9063.84,1857.51,104.23,898
15,15 - Laurentides,40571,1104,39963,608,536,0,36616,3419,640046.66667,6338.76,527.04,83.74,274
16,16 - Montérégie,102322,2258,100407,1915,1660,6,80739,19923,1452381.3333,7045.12,1358.25,114.30,1719
17,17 - Nunavik,1386,73,1382,4,5,0,1102,279,14619,9480.81,1876.13,34.20,10
18,18 - Terres-Cries-de-la-Baie-James,608,35,530,78,5,0,227,376,18660.333333,3258.25,1981.97,26.79,14
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,2042,56,2034,8,1,0,1648,393,.,.,.,.,38
999,Ensemble du Québec,696182,15874,685444,10738,11846,26,562715,121621,8613493.6667,8082.46,1401.61,137.53,9853

