,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1188,4,1175,13,24,0,1089,75,197074,602.82,38.06,12.18
02,02 - Saguenay–Lac-Saint-Jean,7128,82,6958,170,198,4,6179,751,277632,2567.43,270.50,71.32
03,03 - Capitale-Nationale,16095,193,15815,280,605,12,13319,2171,755459,2130.49,287.37,80.08
04,04 - Mauricie et Centre-du-Québec,8934,111,8720,214,339,7,7547,1048,522341,1710.38,200.64,64.90
05,05 - Estrie,7002,97,6655,347,135,8,5842,1025,493163,1419.81,207.84,27.37
06,06 - Montréal,64520,799,61748,2772,3788,24,54147,6585,2065657,3123.46,318.78,183.38
07,07 - Outaouais,4396,48,4092,304,101,2,3889,406,401032,1096.17,101.24,25.19
08,08 - Abitibi-Témiscamingue,317,-1,284,33,4,0,298,15,147616,214.75,10.16,2.71
09,09 - Côte-Nord,280,-1,267,13,3,0,239,38,90033,311.00,42.21,3.33
10,10 - Nord-du-Québec,65,1,63,2,0,0,62,3,13558,479.42,22.13,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1540,6,1521,19,42,0,1443,55,89998,1711.15,61.11,46.67
12,12 - Chaudière-Appalaches,7428,96,7181,247,167,4,6369,892,430309,1726.20,207.29,38.81
13,13 - Laval,14937,210,13630,1307,738,0,12656,1543,442745,3373.73,348.51,166.69
14,14 - Lanaudière,14074,167,13369,705,381,2,12436,1257,520092,2706.06,241.69,73.26
15,15 - Laurentides,9786,119,9187,599,352,2,8626,808,626968,1560.85,128.87,56.14
16,16 - Montérégie,25632,311,24205,1427,989,8,21952,2691,1432751,1789.01,187.82,69.03
17,17 - Nunavik,29,0,27,2,0,0,29,0,14260,203.37,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,19,0,19,0,1,0,15,3,18385,103.35,16.32,5.44
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,149,5,147,2,0,0,134,15,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,183523,2247,175067,8456,7867,73,156275,19381,8539073,2149.21,226.97,92.13
