group,1d,2d,pop 2021
0-11,521,118,1079338
12-17,493796,445088,529446
18-29,1029875,935227,1216440
30-39,953518,884506,1118629
40-49,985259,938525,1115327
50-59,1050681,1008941,1155183
60-69,1097009,1076746,1168854
70-79,745207,738738,783129
80 plus,396518,387616,425520
Total 12+,6751863,6415387,7512528
Total,6752384,6415505,8591866
