group,1d,2d,pop 2021
0-11,465.0,41.0,1079338
12-17,396177.0,3374.0,529446
18-29,806499.0,104900.0,1216440
30-39,798398.0,134880.0,1118629
40-49,875142.0,204267.0,1115327
50-59,973487.0,343608.0,1155183
60-69,1058377.0,617298.0,1168854
70-79,729662.0,541240.0,783129
80 plus,390436.0,312892.0,425520
Total 12+,6028178.0,2262459.0,7512528
Total,6028643.0,2262500.0,8591866
