group,1d,2d,pop 2021
0-11,542,133,1079338
12-17,500993,458567,529446
18-29,1049451,967376,1216440
30-39,969125,909237,1118629
40-49,995018,955232,1115327
50-59,1057533,1020528,1155183
60-69,1100515,1083099,1168854
70-79,746679,742335,783129
80 plus,397284,392234,425520
Total 12+,6816598,6528608,7512528
Total,6817140,6528741,8591866
