Date;Doses du vaccin COVID-19 reçues (cumulatif);Doses du vaccin COVID-19 administrées (cumulatif);
2021-02-05;294825;253904;
2021-02-04;256625;249 531;
2021-02-03;256 625;244 576;
2021-02-02;256 625;241 739;
2021-02-01;256 625;241 111;
2021-01-31;238100;240 735;
2021-01-30;238100;239974;
