,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1479,2,1462,17,30,0,1433,16,196934.5,751.01,8.13,15.23
02,02 - Saguenay–Lac-Saint-Jean,8769,3,8581,188,262,0,8474,33,277505,3159.94,11.90,94.41
03,03 - Capitale-Nationale,21669,20,21338,331,946,3,20064,659,757803,2859.45,86.69,124.83
04,04 - Mauricie et Centre-du-Québec,12377,24,12148,229,472,1,11429,476,523331.5,2365.04,90.78,90.19
05,05 - Estrie,10822,46,10407,415,285,2,10182,355,494966.5,2186.41,71.46,57.58
06,06 - Montréal,97519,605,94676,2843,4365,4,87464,5690,2072060.5,4706.38,273.76,210.66
07,07 - Outaouais,5924,17,5533,391,156,0,5659,109,402744,1470.91,26.95,38.73
08,08 - Abitibi-Témiscamingue,722,4,689,33,5,0,692,25,147637,489.04,16.93,3.39
09,09 - Côte-Nord,344,1,330,14,3,0,337,4,89700.5,383.50,4.48,3.34
10,10 - Nord-du-Québec,87,0,85,2,0,0,87,0,13521.5,643.42,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1690,0,1671,19,45,0,1641,4,89823,1881.48,4.46,50.10
12,12 - Chaudière-Appalaches,11235,49,10973,262,270,2,10579,386,431109.5,2606.07,89.37,62.63
13,13 - Laval,22773,132,21316,1457,846,0,20877,1050,444658.5,5121.46,235.12,190.26
14,14 - Lanaudière,19040,52,18330,710,472,2,17843,725,522367,3644.95,138.19,90.36
15,15 - Laurentides,14999,74,14402,597,452,4,13871,676,630238,2379.89,106.71,71.72
16,16 - Montérégie,39136,176,37544,1592,1388,8,35694,2054,1438226,2721.13,142.27,96.51
17,17 - Nunavik,40,-1,38,2,0,0,37,3,14336.5,279.01,20.81,0.00
18,18 - Terres-Cries-de-la-Baie-James,114,0,114,0,2,0,100,12,18507,615.98,64.42,10.81
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,234,0,230,4,0,0,228,6,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,268977,1204,259871,9106,9999,26,246695,12283,8565469.5,3140.25,142.96,116.74
