,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4195,5,4173,22,54,0,4093,48,196934.5,2130.15,24.39,27.42,6
02,02 - Saguenay-Lac-Saint-Jean,11370,8,11152,218,271,0,11040,59,277505,4097.22,21.27,97.66,1
03,03 - Capitale-Nationale,34529,39,34175,354,1127,0,33183,219,757803,4556.46,28.81,148.72,27
04,04 - Mauricie et Centre-du-Québec,17496,25,17258,238,569,0,16692,235,523331.5,3343.20,44.82,108.73,36
05,05 - Estrie,17053,27,16541,512,368,0,16356,329,494966.5,3445.28,66.23,74.35,22
06,06 - Montréal,147778,139,144845,2933,4826,1,141472,1480,2072060.5,7131.93,71.21,232.91,115
07,07 - Outaouais,14180,9,13732,448,222,0,13804,154,402744,3520.85,38.08,55.12,14
08,08 - Abitibi-Témiscamingue,1272,2,1239,33,10,0,1245,17,147637,861.57,11.51,6.77,1
09,09 - Côte-Nord,676,5,655,21,5,0,625,46,89700.5,753.62,51.47,5.57,6
10,10 - Nord-du-Québec,137,0,135,2,0,0,136,1,13521.5,1013.20,7.42,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2194,2,2173,21,48,0,2129,17,89823,2442.58,18.96,53.44,2
12,12 - Chaudière-Appalaches,21896,42,21623,273,376,0,21022,498,431109.5,5078.99,115.30,87.22,70
13,13 - Laval,36758,29,34830,1928,935,0,35441,382,444658.5,8266.57,85.54,210.27,50
14,14 - Lanaudière,27166,16,26456,710,529,1,26350,287,522367,5200.56,54.70,101.27,24
15,15 - Laurentides,24863,36,24260,603,526,0,24064,273,630238,3945.02,43.09,83.46,39
16,16 - Montérégie,57951,62,56027,1924,1583,0,55616,752,1438226,4029.34,52.09,110.07,63
17,17 - Nunavik,74,6,72,2,0,0,58,16,14336.5,516.17,111.01,0.00,2
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,5,0,137,0,18507,767.28,0.00,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1195,6,1188,7,1,0,1173,21,.,.,.,.,5
999,Ensemble du Québec,420929,458,410679,10250,11455,2,404640,4834,8565469.5,4914.25,56.26,133.73,483

