group,1d,2d,3d,pop 2021
0-4,248,55,8,428991
5-11,430572,318223,308,650347
12-17,530355,503721,79693,529446
18-29,1110858,1050656,416383,1216440
30-39,1018861,978101,485924,1118629
40-49,1026120,1000588,623781,1115327
50-59,1079453,1053466,777198,1155183
60-69,1115101,1103833,980147,1168854
70-79,753675,752749,713283,783129
80 plus,400553,400906,384734,425520
Total 5+,7465548,7162243,4461451,8162875
Total,7465796,7162298,4461459,8591866
