,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1455,2,1440,15,29,1,1394,32,196795,739.35,16.26,14.74
02,02 - Saguenay–Lac-Saint-Jean,8690,16,8505,185,259,0,8251,180,277378,3132.91,64.89,93.37
03,03 - Capitale-Nationale,20973,62,20653,320,884,9,18884,1205,760147,2759.07,158.52,116.29
04,04 - Mauricie et Centre-du-Québec,11933,41,11707,226,431,1,10734,768,524322,2275.89,146.47,82.20
05,05 - Estrie,10293,52,9884,409,257,1,9387,649,496770,2071.99,130.64,51.73
06,06 - Montréal,90856,580,88033,2823,4231,11,79549,7076,2078464,4371.30,340.44,203.56
07,07 - Outaouais,5729,23,5351,378,150,1,5355,224,404456,1416.47,55.38,37.09
08,08 - Abitibi-Témiscamingue,673,4,639,34,5,0,613,55,147658,455.78,37.25,3.39
09,09 - Côte-Nord,340,1,326,14,3,0,327,10,89368,380.45,11.19,3.36
10,10 - Nord-du-Québec,87,0,85,2,0,0,86,1,13485,645.16,7.42,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1685,0,1666,19,45,0,1631,9,89648,1879.57,10.04,50.20
12,12 - Chaudière-Appalaches,10694,53,10434,260,236,2,9826,632,431910,2475.98,146.33,54.64
13,13 - Laval,21348,122,19913,1435,812,0,19179,1357,446572,4780.42,303.87,181.83
14,14 - Lanaudière,18150,90,17440,710,452,3,16658,1040,524642,3459.50,198.23,86.15
15,15 - Laurentides,13964,83,13362,602,414,3,12658,892,633508,2204.23,140.80,65.35
16,16 - Montérégie,36412,323,34946,1466,1268,9,32393,2751,1443701,2522.13,190.55,87.83
17,17 - Nunavik,39,1,37,2,0,0,35,4,14413,270.59,27.75,0.00
18,18 - Terres-Cries-de-la-Baie-James,92,3,92,0,2,0,52,38,18629,493.85,203.98,10.74
98,Inconnu,5,0,5,0,0,0,5,0,           .,         .  ,         .  ,         .  
99,Hors Québec,215,1,211,4,0,0,198,17,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,253633,1457,244729,8904,9478,41,227215,16940,8591866,2952.01,197.16,110.31
