Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,3171,994,0,0,16,98,114,2063,1594,1108,469,206,1675,211,1577
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3487,997,0,0,58,177,235,2255,1497,1232,758,212,1984,206,1990
Région,RSS03,03 - Capitale-Nationale,Total,16770,6280,5,11,452,714,1166,9308,6438,7462,2870,1151,9966,1019,10332
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,7988,1652,1,2,211,825,1036,5297,4754,2691,543,416,4288,327,3234
Région,RSS05,05 - Estrie,Total,10393,2033,0,11,334,811,1145,7204,6234,3189,970,622,3981,382,4159
Région,RSS06,06 - Montréal,Total,79501,13820,126,285,3887,6580,10467,54803,42692,24698,12111,6880,30230,6829,36809
Région,RSS07,07 - Outaouais,Total,8559,3839,17,33,156,1053,1209,3461,3177,5098,284,238,4821,761,5382
Région,RSS08,08 - Abitibi-Témiscamingue,Total,1036,103,187,0,24,44,68,678,574,358,104,25,260,239,462
Région,RSS09,09 - Côte-Nord,Total,516,163,0,0,11,54,65,288,247,228,41,22,279,33,269
Région,RSS10,10 - Nord-du-Québec,Total,67,22,1,0,5,11,16,28,9,39,19,13,50,5,58
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,728,185,0,0,33,56,89,454,406,274,48,38,346,36,322
Région,RSS12,12 - Chaudière-Appalaches,Total,15008,3452,1,10,396,1549,1945,9600,8922,5408,678,872,8259,1006,6086
Région,RSS13,13 - Laval,Total,19989,3280,13,23,587,2926,3513,13160,11798,6829,1362,808,7239,947,8191
Région,RSS14,14 - Lanaudière,Total,12543,1820,38,11,295,1886,2181,8493,6680,4050,1813,722,5275,712,5863
Région,RSS15,15 - Laurentides,Total,14732,2558,33,59,378,2631,3009,9073,6308,5659,2765,1109,7488,1034,8424
Région,RSS16,16 - Montérégie,Total,29383,4291,26,155,1650,2557,4207,20704,17394,8679,3310,2480,10687,1704,11989
Région,RSS00,Inconnu,Total,1279,51,1,0,28,64,92,1135,990,144,145,30,263,70,289
Région,RSS98,Hors-Québec,Total,955,125,11,10,194,113,307,502,403,453,99,207,322,263,552
Région,RSS99,Ensemble du Québec,Total,226105,45665,460,610,8715,22149,30864,148506,120117,77599,28389,16051,97413,15784,105988

