Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;19;241;179,5;2995;2231;0;;360;268,2
Anjou;5;94;219,6;933;2180,1;0;;51;119,2
Baie D'urfé;0;< 5;n.p.;34;* 889,4;0;;< 5;n.p.
Beaconsfield;< 5;18;* 93,1;91;470,9;0;;9;* 46,6
Côte-des-Neiges–Notre-Dame-de-Grâce;70;430;258,2;3113;1869,4;< 5;n.p.;263;157,9
Côte-Saint-Luc;17;134;413;781;2406,9;< 5;n.p.;66;203,4
Dollard-des-Ormeaux;7;78;159,5;616;1259,7;0;;83;169,7
Dorval;< 5;19;* 100,1;239;1259,2;0;;50;263,4
Hampstead;< 5;30;* 430,2;109;1563,2;0;;< 5;n.p.
Kirkland;< 5;23;* 114,1;173;858,5;0;;23;* 114,1
Lachine;< 5;58;130,4;807;1813,9;0;;101;227
LaSalle;5;100;130,1;1505;1958,3;< 5;n.p.;184;239,4
L'Île-Bizard–Sainte-Geneviève;< 5;27;* 146,6;265;1439,2;0;;46;249,8
Mercier–Hochelaga-Maisonneuve;10;235;172,8;2994;2201,1;0;;375;275,7
Montréal Est;0;8;n.p.;61;1584,4;0;;5;n.p.
Montréal-Nord;28;267;317;3197;3795,4;< 5;n.p.;248;294,4
Montréal-Ouest;< 5;< 5;n.p.;41;811,9;0;;< 5;n.p.
Mont-Royal;9;32;* 157,8;348;1716,3;0;;77;379,8
Outremont;9;89;371,5;537;2241,8;0;;12;* 50,1
Pierrefonds–Roxboro;6;126;181,8;784;1131,4;0;;39;56,3
Plateau Mont-Royal;< 5;206;198,1;1582;1521,2;< 5;n.p.;143;137,5
Pointe-Claire;< 5;26;* 82,9;276;879,5;0;;40;127,5
Rivière-des-Prairies–Pointe-aux-Trembles;13;248;232,3;2722;2550,1;0;;242;226,7
Rosemont–La Petite Patrie;22;228;163,3;2241;1605,4;0;;239;171,2
Sainte-Anne-de-Bellevue;< 5;6;n.p.;26;* 524,4;0;;< 5;n.p.
Saint-Laurent;20;254;257;1631;1650,3;0;;121;122,4
Saint-Léonard;23;187;238,8;1623;2072,7;0;;63;80,5
Senneville;0;< 5;n.p.;< 5;n.p.;0;;0;
Sud-Ouest;11;158;202,2;1363;1744,1;0;;182;232,9
Verdun;6;93;134,3;1205;1740,6;0;;159;229,7
Ville-Marie;11;256;287,1;1623;1820,1;< 5;n.p.;90;100,9
Villeray–Saint-Michel–Parc-Extension;28;340;236,4;3063;2129,3;< 5;n.p.;133;92,5
Westmount;0;17;* 83,7;249;1225,9;0;;37;182,2
Territoire à confirmer;7;149;;901;;0;;45;
Total à Montréal;351;4184;202,6;38131;1846;12;*0,6;3497;169,3
