,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1460,4,1445,15,30,1,1409,21,196795,741.89,10.67,15.24
02,02 - Saguenay–Lac-Saint-Jean,8736,19,8551,185,261,2,8329,146,277378,3149.49,52.64,94.10
03,03 - Capitale-Nationale,21179,81,20858,321,906,7,19237,1036,760147,2786.17,136.29,119.19
04,04 - Mauricie et Centre-du-Québec,12061,34,11835,226,441,6,10920,700,524322,2300.30,133.51,84.11
05,05 - Estrie,10433,49,10021,412,266,2,9620,547,496770,2100.17,110.11,53.55
06,06 - Montréal,92364,551,89537,2827,4274,6,81434,6656,2078464,4443.86,320.24,205.63
07,07 - Outaouais,5774,13,5394,380,151,1,5463,160,404456,1427.60,39.56,37.33
08,08 - Abitibi-Témiscamingue,690,6,656,34,5,0,638,47,147658,467.30,31.83,3.39
09,09 - Côte-Nord,340,0,326,14,3,0,333,4,89368,380.45,4.48,3.36
10,10 - Nord-du-Québec,87,0,85,2,0,0,86,1,13485,645.16,7.42,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1686,0,1667,19,45,0,1633,8,89648,1880.69,8.92,50.20
12,12 - Chaudière-Appalaches,10791,44,10531,260,248,2,10041,502,431910,2498.44,116.23,57.42
13,13 - Laval,21683,102,20239,1444,818,1,19682,1183,446572,4855.43,264.91,183.17
14,14 - Lanaudière,18369,90,17659,710,459,3,16936,974,524642,3501.24,185.65,87.49
15,15 - Laurentides,14195,69,13593,602,422,5,12903,870,633508,2240.70,137.33,66.61
16,16 - Montérégie,37113,264,35619,1494,1299,17,33255,2559,1443701,2570.68,177.25,89.98
17,17 - Nunavik,37,-1,35,2,0,0,35,2,14413,256.71,13.88,0.00
18,18 - Terres-Cries-de-la-Baie-James,108,1,108,0,2,0,61,45,18629,579.74,241.56,10.74
98,Inconnu,5,0,5,0,0,0,5,0,           .,         .  ,         .  ,         .  
99,Hors Québec,219,2,215,4,0,0,201,18,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,257330,1328,248379,8951,9630,53,232221,15479,8591866,2995.04,180.16,112.08
