group,1d,2d,3d,pop 2021
0-4,254,54,6,428991
5-11,395614,21934,8,650347
12-17,523808,480571,3679,529446
18-29,1093530,1023246,179946,1216440
30-39,1005057,954591,244768,1118629
40-49,1017649,984908,360740,1115327
50-59,1073329,1041519,513702,1155183
60-69,1110765,1095862,775321,1168854
70-79,751397,748980,627109,783129
80 plus,399427,398504,340291,425520
Total 5+,7370576,6750115,3045564,8162875
Total,7370830,6750169,3045570,8591866
