No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6,Cas vague 7,Taux cas vague 7,Cas vague haute endémicité,Taux cas vague haute endémicité,Cas saison 2023-2024,Taux cas saison 2023-2024
05,05 - Estrie,0514,0514 - RLS de Coaticook,12,63.77,402,2118.63,189,987.93,168,878.16,793,4126.02,242,1253.37,198,1025.48,366,1886.99,218,1115.66
05,05 - Estrie,0515,0515 - RLS de Sherbrooke,262,153.13,3634,2113.99,974,563.94,1999,1157.41,9096,5218.72,3324,1889.95,3224,1833.09,4334,2443.42,2933,1629.51
05,05 - Estrie,0516,0516 - RLS de Val Saint-François,69,217.23,562,1758.94,172,535.19,292,908.58,1322,4088.77,435,1337.35,433,1331.20,640,1956.35,382,1156.51
05,05 - Estrie,0517,0517 - RLS d'Asbestos,44,304.98,541,3727.31,62,424.60,482,3300.92,678,4628.78,222,1510.92,152,1034.51,273,1852.48,181,1223.01
05,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,29,126.44,356,1538.59,126,539.85,408,1748.07,931,3967.10,402,1703.68,315,1334.97,417,1757.82,299,1250.55
05,05 - Estrie,0519,0519 - RLS du Granit,11,50.97,809,3722.36,745,3404.00,556,2540.44,1625,7398.47,206,934.58,229,1038.93,507,2292.56,209,940.66
05,05 - Estrie,,Total (incluant inconnus),790,158.77,10495,2090.36,3120,615.92,5711,1127.41,22076,4322.65,7724,1500.24,7071,1373.41,10519,2027.45,6709,1276.60
06,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,1457,643.32,7253,3208.04,2223,984.95,2066,915.39,11744,5194.41,2687,1186.41,2357,1040.70,3623,1598.23,1850,814.56
06,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,2009,1343.77,5629,3789.70,1735,1175.77,1403,950.78,9030,6112.73,1878,1269.90,1777,1201.60,2832,1914.66,1454,981.03
06,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,1310,995.19,4686,3605.81,1198,933.89,1529,1191.91,6866,5337.25,1812,1404.60,1523,1180.57,2111,1634.37,936,722.12
06,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,2627,1066.98,10622,4400.47,2744,1159.97,2476,1046.68,13629,5725.81,3015,1258.88,2757,1151.16,3272,1361.29,1632,674.15
06,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,1642,978.61,4231,2556.98,1227,752.08,1560,956.19,9312,5693.67,2170,1323.56,1856,1132.04,2639,1607.64,1280,776.37
06,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,1396,865.77,4381,2801.80,1198,790.84,1434,946.63,9926,6478.33,2174,1403.01,1718,1108.72,2330,1492.25,1053,664.52
06,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,1697,1044.35,8569,5316.58,2849,1782.23,1996,1248.62,8492,5298.49,1750,1089.07,1658,1031.81,2335,1451.85,1134,703.90
06,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,3848,2224.56,9026,5264.69,1988,1170.03,2359,1388.38,10843,6382.91,1897,1116.93,2172,1278.84,3382,1993.14,1862,1098.11
