Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,      3904,      2435,       62.4,       780,       20.0,       689,       17.6,        54,n.d.,n.d.,n.d.,n.d.,        46,       85.2
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,     10945,      5702,       52.1,      2472,       22.6,      2771,       25.3,       269,        13,        4.8,        21,        7.8,       235,       87.4
Région,RSS03,03 - Capitale-Nationale,     31876,     18569,       58.3,      6281,       19.7,      7026,       22.0,      1109,        32,        2.9,       102,        9.2,       975,       87.9
Région,RSS04,04 - Mauricie et Centre-du-Québec,     16026,      9451,       59.0,      3087,       19.3,      3488,       21.8,       561,        18,        3.2,        31,        5.5,       512,       91.3
Région,RSS05,05 - Estrie,     15375,      9191,       59.8,      3005,       19.5,      3179,       20.7,       352,        11,        3.1,        30,        8.5,       311,       88.4
Région,RSS06,06 - Montréal,    124677,     73588,       59.0,     22754,       18.3,     28335,       22.7,      4701,       151,        3.2,       274,        5.8,      4276,       91.0
Région,RSS07,07 - Outaouais,     11994,      7763,       64.7,      2024,       16.9,      2207,       18.4,       215,         6,        2.8,        19,        8.8,       190,       88.4
Région,RSS08,08 - Abitibi-Témiscamingue,      1173,       705,       60.1,       271,       23.1,       197,       16.8,         9,n.d.,n.d.,n.d.,n.d.,         6,       66.7
Région,RSS09,09 - Côte-Nord,       570,       376,       66.0,       104,       18.2,        90,       15.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,10 - Nord-du-Québec,       129,        80,       62.0,        22,       17.1,        27,       20.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      2063,      1080,       52.4,       421,       20.4,       562,       27.2,        47,n.d.,n.d.,n.d.,n.d.,        42,       89.4
Région,RSS12,12 - Chaudière-Appalaches,     19885,     12167,       61.2,      3888,       19.6,      3830,       19.3,       369,        10,        2.7,        38,       10.3,       321,       87.0
Région,RSS13,13 - Laval,     33664,     21052,       62.5,      6686,       19.9,      5926,       17.6,       921,        17,        1.8,        65,        7.1,       839,       91.1
Région,RSS14,14 - Lanaudière,     25393,     15506,       61.1,      5151,       20.3,      4736,       18.7,       514,        22,        4.3,        31,        6.0,       461,       89.7
Région,RSS15,15 - Laurentides,     22879,     14090,       61.6,      4449,       19.4,      4340,       19.0,       510,        27,        5.3,        37,        7.3,       446,       87.5
Région,RSS16,16 - Montérégie,     52836,     31060,       58.8,     10479,       19.8,     11297,       21.4,      1557,        54,        3.5,       105,        6.7,      1398,       89.8
Région,RSS17,17 - Nunavik,        46,        22,       47.8,         8,       17.4,        16,       34.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,       121,        72,       59.5,        17,       14.0,        32,       26.4,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    373603,    222946,       59.7,     71906,       19.2,     78751,       21.1,     11196,       367,        3.3,       766,        6.8,     10063,       89.9
Groupe d'âge,0_9,Moins de 10 ans,     33373,     28507,       85.4,      3974,       11.9,       892,        2.7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     48141,     39887,       82.9,      6905,       14.3,      1349,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,     55284,     44695,       80.8,      7975,       14.4,      2614,        4.7,         7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,30_39,30-39 ans,     51796,     36320,       70.1,     10783,       20.8,      4693,        9.1,        22,n.d.,n.d.,n.d.,n.d.,        15,       68.2
Groupe d'âge,40_49,40-49 ans,     55638,     34970,       62.9,     13292,       23.9,      7376,       13.3,        53,        17,       32.1,        12,       22.6,        24,       45.3
Groupe d'âge,50_59,50-59 ans,     49463,     24863,       50.3,     14038,       28.4,     10562,       21.4,       212,        35,       16.5,        32,       15.1,       145,       68.4
Groupe d'âge,60_69,60-69 ans,     30213,     10219,       33.8,      8509,       28.2,     11485,       38.0,       717,        64,        8.9,        86,       12.0,       567,       79.1
Groupe d'âge,70_79,70-79 ans,     18994,      2410,       12.7,      3689,       19.4,     12895,       67.9,      2187,        80,        3.7,       200,        9.1,      1907,       87.2
Groupe d'âge,80_89,80-89 ans,     19363,       789,        4.1,      1960,       10.1,     16614,       85.8,      4374,        83,        1.9,       263,        6.0,      4028,       92.1
Groupe d'âge,90_,90 ans et plus,     11338,       286,        2.5,       781,        6.9,     10271,       90.6,      3622,        78,        2.2,       170,        4.7,      3374,       93.2
