Regroupement,Croisement,Nom,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,2722,994,,,5,18,1705,1017,1641,186,1586,220,1503
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,3260,997,,,8,117,2138,1122,2038,162,1934,204,1894
Région,RSS03,03 - Capitale-Nationale,15221,6274,5,11,157,611,8163,7058,10020,817,9652,1048,10165
Région,RSS04,04 - Mauricie et Centre-du-Québec,6533,1651,1,2,65,643,4171,2362,3971,262,3743,369,2968
Région,RSS05,05 - Estrie,7751,2035,,11,101,700,4904,2847,4008,338,3746,369,3832
Région,RSS06,06 - Montréal,70597,13822,126,284,1655,5615,49095,21502,33851,4309,29571,5523,36426
Région,RSS07,07 - Outaouais,7811,3839,17,33,87,720,3115,4696,5775,166,4463,1123,6053
Région,RSS08,08 - Abitibi-Témiscamingue,876,100,193,,9,19,555,321,444,12,230,235,601
Région,RSS09,09 - Côte-Nord,301,162,,,3,17,119,182,255,14,237,35,229
Région,RSS10,10 - Nord-du-Québec,64,22,2,,1,14,25,39,64,3,59,4,60
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,545,185,,,9,46,305,240,370,17,334,36,310
Région,RSS12,12 - Chaudière-Appalaches,11918,3452,1,10,25,896,7534,4384,8326,482,7506,766,5604
Région,RSS13,13 - Laval,17778,3278,13,23,360,2211,11893,5885,8907,544,6544,872,8964
Région,RSS14,14 - Lanaudière,10702,1820,38,11,165,1376,7292,3410,5855,479,4907,687,5891
Région,RSS15,15 - Laurentides,12178,2559,33,59,189,1866,7472,4706,7482,851,6795,972,7857
Région,RSS16,16 - Montérégie,25448,4291,25,155,773,2180,18024,7424,13413,1444,10370,1973,12602
Région,RSS00,Inconnu,464,50,1,,11,56,346,118,416,15,245,85,321
Région,RSS98,Hors-Québec,784,123,11,10,117,125,398,386,404,140,324,212,516
Région,RSS99,Ensemble du Québec,194953,45654,466,609,3740,17230,127254,67699,107240,10241,92246,14733,105796

