group,1d,2d,pop 2021
0-11,410,62,1079338
12-17,419128,126639,529446
18-29,855699,443726,1216440
30-39,836721,518835,1118629
40-49,904811,642825,1115327
50-59,996678,781883,1155183
60-69,1070185,942017,1168854
70-79,734399,689341,783129
80 plus,392268,368696,425520
Total 12+,6209889,4513962,7512528
Total,6210299,4514024,8591866
