group,1d,2d,3d,pop 2021
0-4,253,56,7,428991
5-11,425638,295574,184,650347
12-17,528655,500018,48712,529446
18-29,1108490,1046511,391534,1216440
30-39,1016542,973996,461663,1118629
40-49,1024504,997723,597819,1115327
50-59,1078383,1051030,751578,1155183
60-69,1114177,1101901,954554,1168854
70-79,753014,751615,697041,783129
80 plus,400195,399926,372585,425520
Total 5+,7449598,7118294,4275670,8162875
Total,7449851,7118350,4275677,8591866
