Date;Doses du vaccin COVID-19 reçues (cumulatif);Doses du vaccin COVID-19 administrées (cumulatif)
2021-03-23;1321795;1024713
2021-03-22;1296055;993688
2021-03-21;1050355;967278
2021-03-20;1050355;946066
2021-03-19;1050355;917236
2021-03-18;1050355;874965
2021-03-17;1050355;834793
