Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;12;275;204,8;21655;16131;0;;532;396,3
Anjou;14;94;219,6;7312;17085,7;0;;87;203,3
Baie D'urfé;< 5;16;* 418,5;355;9285,9;0;;< 5;n.p.
Beaconsfield;0;46;238;1832;9480,4;< 5;n.p.;27;* 139,7
Côte-des-Neiges–Notre-Dame-de-Grâce;17;383;230;25899;15553,1;< 5;n.p.;415;249,2
Côte-Saint-Luc;5;105;323,6;5989;18457,2;0;;130;400,6
Dollard-des-Ormeaux;25;129;263,8;6778;13861,2;0;;132;269,9
Dorval;< 5;48;252,9;2329;12270,8;0;;70;368,8
Hampstead;< 5;36;* 516,3;1340;19217;0;;7;n.p.
Kirkland;< 5;50;248,1;2232;11076,4;0;;40;198,5
Lachine;7;113;254;6864;15428,5;< 5;n.p.;193;433,8
LaSalle;7;160;208,2;11977;15584,3;0;;261;339,6
L'Île-Bizard–Sainte-Geneviève;< 5;48;260,7;2610;14174,8;< 5;n.p.;82;445,3
Mercier–Hochelaga-Maisonneuve;29;276;202,9;21083;15499,5;< 5;n.p.;513;377,1
Montréal Est;< 5;16;* 415,6;746;19376,6;0;;12;* 311,7
Montréal-Nord;9;133;157,9;15979;18969,8;< 5;n.p.;395;468,9
Montréal-Ouest;0;12;* 237,6;641;12693,1;0;;< 5;n.p.
Mont-Royal;0;53;261,4;2923;14416,1;0;;95;468,5
Outremont;< 5;37;154,5;3165;13212,8;0;;31;* 129,4
Pierrefonds–Roxboro;< 5;142;204,9;9667;13950,1;< 5;n.p.;105;151,5
Plateau Mont-Royal;11;190;182,7;13865;13331,7;< 5;n.p.;200;192,3
Pointe-Claire;< 5;69;219,9;3245;10341;0;;68;216,7
Rivière-des-Prairies–Pointe-aux-Trembles;16;240;224,8;19030;17827,9;< 5;n.p.;359;336,3
Rosemont–La Petite Patrie;15;310;222,1;19596;14038,3;< 5;n.p.;362;259,3
Sainte-Anne-de-Bellevue;0;10;* 201,7;524;10568,8;< 5;n.p.;16;* 322,7
Saint-Laurent;12;183;185,2;15727;15913,5;0;;173;175,1
Saint-Léonard;12;146;186,5;15091;19272,1;< 5;n.p.;170;217,1
Senneville;0;< 5;n.p.;96;10423,5;0;;0;
Sud-Ouest;7;178;227,8;10725;13723,4;< 5;n.p.;235;300,7
Verdun;9;162;234;8452;12208,8;< 5;n.p.;218;314,9
Ville-Marie;15;272;305;13290;14904,1;< 5;n.p.;159;178,3
Villeray–Saint-Michel–Parc-Extension;14;232;161,3;23206;16131,7;< 5;n.p.;251;174,5
Westmount;< 5;52;256;2431;11968,3;0;;65;320
Territoire à confirmer;< 5;172;;8455;;0;;31;
Total à Montréal;265;4390;212,5;305110;14770,6;27;*1,3;5440;263,4
