,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4054,2,4031,23,53,0,3992,9,196934.5,2058.55,4.57,26.91,2
02,02 - Saguenay-Lac-Saint-Jean,11173,2,10953,220,271,0,10869,33,277505,4026.23,11.90,97.66,1
03,03 - Capitale-Nationale,33655,25,33300,355,1119,0,32386,150,757803,4441.13,19.73,147.66,23
04,04 - Mauricie et Centre-du-Québec,16540,33,16302,238,564,1,15760,216,523331.5,3160.52,41.20,107.77,25
05,05 - Estrie,15949,30,15440,509,356,0,15347,246,494966.5,3222.24,49.52,71.92,20
06,06 - Montréal,142043,304,139106,2937,4785,1,134838,2420,2072060.5,6855.16,116.43,230.93,199
07,07 - Outaouais,13425,36,12979,446,216,0,12971,238,402744,3333.38,58.84,53.63,38
08,08 - Abitibi-Témiscamingue,1220,1,1187,33,9,0,1203,8,147637,826.35,5.42,6.10,1
09,09 - Côte-Nord,600,1,581,19,4,0,593,3,89700.5,668.89,3.36,4.46,1
10,10 - Nord-du-Québec,134,0,132,2,0,0,133,1,13521.5,991.01,7.42,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2127,4,2107,20,47,0,2046,34,89823,2367.99,37.93,52.33,1
12,12 - Chaudière-Appalaches,20043,58,19769,274,370,0,19381,292,431109.5,4649.17,67.61,85.83,29
13,13 - Laval,35048,79,33147,1901,926,0,33308,814,444658.5,7882.00,182.28,208.25,86
14,14 - Lanaudière,25989,44,25278,711,518,1,24864,607,522367,4975.24,115.70,99.16,41
15,15 - Laurentides,23225,106,22621,604,512,0,22073,640,630238,3685.12,101.02,81.24,59
16,16 - Montérégie,55294,111,53353,1941,1564,0,52659,1071,1438226,3844.60,74.18,108.75,102
17,17 - Nunavik,50,0,48,2,0,0,50,0,14336.5,348.76,0.00,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,4,0,136,2,18507,767.28,10.74,21.61,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,747,1,742,5,0,0,721,26,.,.,.,.,3
999,Ensemble du Québec,401462,837,391221,10241,11318,3,383334,6810,8565469.5,4686.98,79.26,132.14,631

