CIUSSS;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;39;461;123,2;21456;5735,1;0;;889;237,6
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;39;401;106,3;24734;6558,5;0;;762;202,1
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;29;353;107,8;15817;4829;0;;647;197,5
CIUSSS du Nord-de-l'Île-de-Montréal ;74;837;186;35367;7861,2;< 5;n.p.;1108;246,3
CIUSSS de l'Est-de-l'Île-de-Montréal ;116;1159;215,8;42243;7866,9;6;n.p.;1353;252
Territoire à confirmer;7;68;;2426;;0;;26;
Total à Montréal;304;3279;158,7;142043;6876,4;9;n.p.;4785;231,6
