Regroupement,Croisement,Nom,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,2709,994,,,6,17,1692,1017,1626,186,1579,220,1496
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,3197,997,,,9,62,2129,1068,1968,162,1876,204,1838
Région,RSS03,03 - Capitale-Nationale,14949,6274,5,11,162,384,8113,6836,9699,816,9354,1047,9933
Région,RSS04,04 - Mauricie et Centre-du-Québec,6233,1651,1,2,79,475,4025,2208,3570,259,3407,368,2790
Région,RSS05,05 - Estrie,7408,2025,,11,105,324,4943,2465,3430,338,3241,388,3401
Région,RSS06,06 - Montréal,68334,13819,126,284,1675,3347,49083,19251,31820,4281,27726,5517,34517
Région,RSS07,07 - Outaouais,7597,3839,17,33,93,493,3122,4475,5423,165,4234,1121,5823
Région,RSS08,08 - Abitibi-Témiscamingue,862,100,193,,8,12,549,313,421,12,220,234,592
Région,RSS09,09 - Côte-Nord,292,162,,,3,7,120,172,238,14,226,35,219
Région,RSS10,10 - Nord-du-Québec,62,22,2,,1,12,25,37,61,3,57,4,58
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,527,185,,,10,30,302,225,354,18,319,36,296
Région,RSS12,12 - Chaudière-Appalaches,11414,3452,1,10,26,509,7416,3998,7898,482,7090,766,5215
Région,RSS13,13 - Laval,17052,3278,13,23,367,1298,12073,4979,7899,537,5574,871,7982
Région,RSS14,14 - Lanaudière,10211,1819,38,11,178,888,7277,2934,5271,474,4385,687,5365
Région,RSS15,15 - Laurentides,11493,2557,33,59,204,978,7662,3831,6655,849,6045,972,7111
Région,RSS16,16 - Montérégie,24504,4290,25,155,743,1363,17928,6576,12165,1393,9531,1971,11733
Région,RSS00,Inconnu,457,50,1,,8,42,356,101,358,13,228,85,300
Région,RSS98,Hors-Québec,736,123,11,10,118,101,373,363,359,139,290,211,488
Région,RSS99,Ensemble du Québec,188037,45637,466,609,3795,10342,127188,60849,99215,10141,85382,14737,99157

