date,cases_mtl,new_cases_mtl,deaths_mtl,new_deaths_mtl,cases_mtl_0-4,cases_mtl_5-9,cases_mtl_10-19,cases_mtl_20-29,cases_mtl_30-39,cases_mtl_40-49,cases_mtl_50-59,cases_mtl_60-69,cases_mtl_70-79,cases_mtl_80+,cases_mtl_0-4_per100000,cases_mtl_5-9_per100000,cases_mtl_10-19_per100000,cases_mtl_20-29_per100000,cases_mtl_30-39_per100000,cases_mtl_40-49_per100000,cases_mtl_50-59_per100000,cases_mtl_60-69_per100000,cases_mtl_70-79_per100000,cases_mtl_80+_per100000,cases_mtl_0-4_norm,cases_mtl_5-9_norm,cases_mtl_10-19_norm,cases_mtl_20-29_norm,cases_mtl_30-39_norm,cases_mtl_40-49_norm,cases_mtl_50-59_norm,cases_mtl_60-69_norm,cases_mtl_70-79_norm,cases_mtl_80+_norm,cases_mtl_0-4_per100000_norm,cases_mtl_5-9_per100000_norm,cases_mtl_10-19_per100000_norm,cases_mtl_20-29_per100000_norm,cases_mtl_30-39_per100000_norm,cases_mtl_40-49_per100000_norm,cases_mtl_50-59_per100000_norm,cases_mtl_60-69_per100000_norm,cases_mtl_70-79_per100000_norm,cases_mtl_80+_per100000_norm
2020-03-15,27,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-16,32,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-17,39,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-18,45,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-19,81,36,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-20,130,49,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-21,222,92,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-22,310,88,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-23,443,133,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-24,588,145,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-25,776,188,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-26,960,184,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-27,1203,243,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-28,1404,201,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-29,1666,262,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-30,1932,266,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-31,2264,332,na,na,16,18,87,380,374,357,342,258,140,119,15,17,46,130,125,140,132,126,108,120,0.8,0.9,4.2,18.2,17.9,17.1,16.4,12.3,6.7,5.7,1.5,1.8,4.8,13.5,13,14.6,13.8,13.1,11.3,12.6
2020-04-01,2569,305,na,na,16,20,112,462,465,456,418,310,179,197,15,19,60,158,155,179,161,151,138,199,0.6,0.8,4.3,17.5,17.6,17.3,15.9,11.8,6.8,7.5,1.2,1.6,4.8,12.8,12.6,14.5,13.1,12.2,11.2,16.1
2020-04-02,2979,410,na,na,18,20,116,486,495,496,447,321,199,232,16,19,62,166,165,195,173,157,153,235,0.6,0.7,4.1,17.2,17.5,17.5,15.8,11.3,7,8.2,1.2,1.4,4.6,12.4,12.3,14.5,12.9,11.7,11.4,17.5
2020-04-03,3330,351,na,na,24,23,128,539,566,560,512,362,244,295,22,22,68,184,189,220,198,177,188,299,0.7,0.7,3.9,16.6,17.4,17.2,15.7,11.1,7.5,9.1,1.4,1.4,4.3,11.7,12.1,14.1,12.6,11.3,12,19.1
2020-04-04,3671,341,na,na,25,27,144,601,638,656,576,400,277,361,23,26,77,205,213,258,223,195,214,365,0.7,0.7,3.9,16.2,17.2,17.7,15.5,10.8,7.5,9.7,1.3,1.4,4.3,11.4,11.8,14.3,12.4,10.9,11.9,20.3
2020-04-05,3932,261,na,na,27,29,148,622,667,691,607,433,299,443,25,28,79,212,223,272,234,211,231,448,0.7,0.7,3.7,15.7,16.8,17.4,15.3,10.9,7.5,11.2,1.3,1.4,4,10.8,11.3,13.8,12,10.8,11.8,22.9
2020-04-06,4390,458,63,na,30,31,154,662,733,763,665,469,340,549,27,30,82,226,245,300,257,229,262,556,0.7,0.7,3.5,15.1,16.7,17.4,15.1,10.7,7.7,12.5,1.2,1.3,3.7,10.2,11.1,13.6,11.6,10.3,11.8,25.1
2020-04-07,4813,423,74,11,34,33,165,696,772,837,708,505,368,646,31,32,88,237,258,329,273,246,284,654,0.7,0.7,3.5,14.6,16.2,17.6,14.9,10.6,7.7,13.6,1.3,1.3,3.6,9.8,10.6,13.5,11.2,10.1,11.7,26.9
