borough,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16
Ahuntsic–Cartierville,0.4,0.5,na,0.7,0.8,1.0,1.1,1.3,1.5,1.7,1.8,2.1,2.3,2.5,2.6,2.9,3.1,3.6,4.0,4.4,4.9,na,5.6,6.0,6.2,6.5,7.0,7.2,7.5,7.9,na,na,8.8,9.2,9.7,9.9,10.1,10.4,10.7,11.2,11.4,11.8,12.0,12.3,12.4,12.6,na,13.1,13.3
Anjou,0.2,0.3,na,0.4,0.4,0.6,0.8,0.9,1.0,1.1,1.4,1.6,1.7,1.9,2.0,2.1,2.3,2.6,2.8,3.0,3.2,na,3.6,4.0,4.4,5.0,5.6,6.0,6.5,6.7,na,na,7.6,7.8,8.1,8.5,8.5,8.9,9.3,9.6,9.9,10.2,10.6,10.6,11.0,11.5,na,12.1,12.3
Baie-D'Urfé,0.5,0.5,na,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,na,1.3,1.3,1.3,1.6,1.6,1.6,1.6,1.6,na,na,1.6,1.6,2.4,2.4,2.4,2.6,2.6,2.9,2.9,2.9,2.9,2.9,3.7,3.9,na,3.9,4.2
Beaconsfield,0.5,0.5,na,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,na,0.8,0.9,0.9,1.0,1.2,1.2,1.3,1.3,na,na,1.4,1.5,2.1,2.2,2.2,2.3,2.4,2.3,2.3,2.3,2.5,2.6,2.6,2.6,na,2.6,2.5
Côte-des-Neiges–Notre-Dame-de-Grâce,1.0,1.1,na,1.5,1.7,1.9,2.2,2.3,2.6,2.7,3.0,3.1,3.2,3.3,3.4,3.8,4.0,4.3,4.7,4.8,5.0,na,5.4,5.7,5.9,6.2,6.3,6.4,6.6,6.8,na,na,7.4,7.6,8.3,8.3,8.6,8.7,8.9,9.1,9.2,9.4,9.5,9.7,9.8,10.0,na,10.3,10.5
Côte-Saint-Luc,3.3,3.7,na,4.5,4.7,5.2,5.9,6.4,7.1,7.4,8.1,8.1,8.2,8.2,8.2,8.3,8.6,8.8,9.0,9.0,9.2,na,9.7,9.9,10.0,10.1,10.2,10.2,10.3,10.7,na,na,10.9,11.3,11.6,11.6,11.9,12.0,12.0,12.1,12.2,12.3,12.4,12.5,12.6,12.7,na,12.9,13.1
Dollard-des-Ormeaux,0.3,0.4,na,0.6,0.6,0.7,0.9,1.0,1.1,1.3,1.3,1.4,1.5,1.5,1.5,1.5,1.6,1.7,1.8,1.9,2.0,na,2.1,2.2,2.2,2.4,2.6,2.6,2.7,2.8,na,na,3.8,3.9,5.2,5.3,5.5,5.5,5.5,5.6,5.7,5.8,5.8,5.9,6.3,6.5,na,6.7,6.8
Dorval,0.4,0.5,na,0.8,0.9,1.2,1.4,1.4,1.6,1.9,1.9,1.9,1.9,1.9,2.0,2.2,2.2,2.3,2.5,2.5,2.6,na,2.9,3.2,3.3,3.7,3.8,4.1,4.1,4.1,na,na,5.0,5.4,7.0,7.0,7.2,7.2,7.2,7.4,7.6,7.6,7.7,7.7,7.9,8.0,na,8.4,8.5
Hampstead,2.6,2.9,na,3.2,3.3,3.7,3.9,3.9,4.0,4.0,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,na,4.6,4.7,4.7,4.7,5.3,5.4,5.3,5.4,na,na,5.4,5.6,5.6,5.6,5.9,6.0,6.0,6.0,6.6,6.9,6.9,6.9,6.9,6.9,na,6.9,7.2
Kirkland,0.3,0.3,na,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1.0,1.0,1.1,1.2,na,1.2,1.3,1.3,1.4,1.2,1.3,1.3,1.3,na,na,2.6,2.7,3.5,3.5,3.6,3.7,3.8,3.8,4.0,4.1,4.1,4.2,4.4,4.4,na,4.6,4.6
Lachine,0.4,0.5,na,0.7,0.8,1.0,1.3,1.3,1.6,1.8,1.9,1.9,1.9,1.9,2.0,2.0,2.1,2.2,2.3,2.3,2.4,na,2.6,2.7,2.8,2.9,3.3,3.3,3.5,3.5,na,na,4.2,4.7,7.5,7.6,7.7,8.0,8.5,8.7,9.0,9.1,9.2,9.4,9.7,9.8,na,10.2,10.2
LaSalle,0.9,1.0,na,1.5,1.8,2.2,2.7,2.8,3.1,3.5,3.7,3.9,4.1,4.1,4.2,4.4,4.5,4.7,4.8,4.9,5.0,na,5.2,5.3,5.5,5.6,6.1,6.2,6.3,6.5,na,na,7.3,7.6,10.8,10.9,11.1,11.3,11.6,11.7,11.9,12.1,12.2,12.3,12.4,12.5,na,12.8,12.9
L'Île-Bizard–Sainte-Geneviève,0.3,0.4,na,0.5,0.5,0.6,0.8,0.8,0.9,1.1,1.0,1.2,1.2,1.4,1.4,1.5,1.5,1.6,1.8,1.7,1.7,na,2.1,2.4,2.4,2.8,2.7,2.9,2.9,3.1,na,na,4.1,4.8,6.3,6.4,6.2,6.4,6.4,6.8,7.2,7.4,7.5,7.8,8.4,8.5,na,9.0,9.2
Mercier–Hochelaga-Maisonneuve,0.3,0.5,na,0.7,0.7,0.9,1.1,1.1,1.3,1.4,1.6,1.7,1.9,2.0,2.2,2.4,2.6,2.9,3.2,3.4,3.6,na,4.0,4.2,4.5,4.9,5.6,5.8,6.1,6.3,na,na,7.5,7.9,8.5,8.7,9.0,9.5,9.9,10.3,10.5,10.8,11.0,11.4,14.3,12.1,na,12.8,13.1
