group,1d,2d,3d,pop 2021
0-4,31608,14185,41,428991
5-11,441384,338721,32956,650347
12-17,532864,510474,122792,529446
18-29,1118535,1059433,454690,1216440
30-39,1026440,986029,522005,1118629
40-49,1030862,1006322,658594,1115327
50-59,1082918,1057324,807114,1155183
60-69,1118961,1106831,1004012,1168854
70-79,755932,754417,726669,783129
80 plus,401332,401783,392071,425520
Total 5+,7509228,7221334,4720903,8162875
Total,7540836,7235519,4720944,8591866
