Date;Doses du vaccin COVID-19 reçues (cumulatif);Doses du vaccin COVID-19 administrées (cumulatif);;
2021-06-21;8285035;7472859;;
2021-06-20;8285035;7388738;7386401;86458
2021-06-19;8121799;7331372;;84121
2021-06-18;8121799;7259452;;2337
2021-06-17;7789859;7168171;;
2021-06-16;7632639;7066207;;
2021-06-15;7632639;6968351;;
