CIUSSS;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;n.d.;79;21,1;20140;5383,3;< 5;n.p.;885;236,6
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;n.d.;104;27,6;23373;6197,6;< 5;n.p.;757;200,7
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;n.d.;68;20,8;14510;4430;0;;645;196,9
CIUSSS du Nord-de-l'Île-de-Montréal ;n.d.;174;38,7;32908;7314,6;< 5;n.p.;1104;245,4
CIUSSS de l'Est-de-l'Île-de-Montréal ;n.d.;210;39,1;39264;7312,1;0;;1346;250,7
Territoire à confirmer;n.d.;13;;2222;;0;;26;
Total à Montréal;25;648;31,4;132417;6410,4;7;n.p.;4763;230,6
