Sexe;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Masculin;753;11949;1165,7;125220;12216,5;85;8,3;2378;232
Féminin;843;14835;1425,6;137085;13173;62;6;2702;259,6
Inconnu;6;60;;299;;0;;< 5;
Total à Montréal;1602;26844;1299,5;262604;12712,9;147;7,1;5081;246
