,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1446,3,1431,15,27,0,1375,44,196795,734.77,22.36,13.72
02,02 - Saguenay–Lac-Saint-Jean,8642,12,8457,185,254,4,8143,245,277378,3115.60,88.33,91.57
03,03 - Capitale-Nationale,20740,78,20425,315,852,9,18516,1372,760147,2728.42,180.49,112.08
04,04 - Mauricie et Centre-du-Québec,11759,78,11534,225,422,7,10469,868,524322,2242.71,165.55,80.48
05,05 - Estrie,10125,59,9720,405,243,5,9147,735,496770,2038.17,147.96,48.92
06,06 - Montréal,88926,679,86113,2813,4151,20,77358,7417,2078464,4278.45,356.85,199.71
07,07 - Outaouais,5669,19,5294,375,147,0,5221,301,404456,1401.64,74.42,36.35
08,08 - Abitibi-Témiscamingue,662,8,628,34,5,0,574,83,147658,448.33,56.21,3.39
09,09 - Côte-Nord,336,0,322,14,3,0,317,16,89368,375.97,17.90,3.36
10,10 - Nord-du-Québec,87,0,85,2,0,0,80,7,13485,645.16,51.91,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1683,0,1664,19,45,0,1624,14,89648,1877.34,15.62,50.20
12,12 - Chaudière-Appalaches,10519,47,10259,260,229,2,9596,694,431910,2435.46,160.68,53.02
13,13 - Laval,20959,145,19526,1433,805,2,18594,1560,446572,4693.31,349.33,180.26
14,14 - Lanaudière,17862,102,17152,710,443,3,16291,1128,524642,3404.61,215.00,84.44
15,15 - Laurentides,13614,134,13012,602,405,4,12359,850,633508,2148.99,134.17,63.93
16,16 - Montérégie,35502,254,34055,1447,1240,9,31390,2872,1443701,2459.10,198.93,85.89
17,17 - Nunavik,37,1,35,2,0,0,31,6,14413,256.71,41.63,0.00
18,18 - Terres-Cries-de-la-Baie-James,77,2,77,0,2,0,45,30,18629,413.33,161.04,10.74
98,Inconnu,5,0,5,0,0,0,5,0,           .,         .  ,         .  ,         .  
99,Hors Québec,210,3,206,4,0,0,192,18,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,248860,1624,240000,8860,9273,65,221327,18260,8591866,2896.46,212.53,107.93
