Date;Nombre de doses de vaccins reçues;
2021-01-20;975;
2021-01-19;16 575;
2021-01-18;24 375;
2021-01-17;0;
2021-01-16;23 390;
2021-01-15;10610;
2021-01-14;0;
Total de doses reçues depuis le début de la vaccination;238 100;
